artist,lyrics_word_count,lyrics_word_count_excl_sw,food_words_count,food_words_perc_all_lyric_words,food_words_perc_lyric_words_excl_sw,song,release_date,release_year,release_month
immortal technique,235,133,0,0.0,0.0,anomalies,0,0,0
d. rymz,225,122,1,0.0044444444444444444,0.00819672131147541,anomalies,0,0,0
immortal technique,33,15,0,0.0,0.0,anomalies,0,0,0
sabac,479,287,1,0.0020876826722338203,0.003484320557491289,fight until the end,2004-06-15,2004,6
roosevelt phillip,65,37,0,0.0,0.0,fight until the end,2004-06-15,2004,6
immortal technique,159,86,0,0.0,0.0,fight until the end,2004-06-15,2004,6
sabac,447,237,2,0.0044742729306487695,0.008438818565400843,g4 freestyle,0,0,0
immortal technique,134,87,1,0.007462686567164179,0.011494252873563218,genesis,0,0,0
immortal technique,178,170,0,0.0,0.0,golpe de estado,2008-06-14,2008,6
immortal technique,118,104,0,0.0,0.0,golpe de estado,2008-06-14,2008,6
veneno,130,112,0,0.0,0.0,golpe de estado,2008-06-14,2008,6
temperamento,145,139,2,0.013793103448275862,0.014388489208633094,golpe de estado,2008-06-14,2008,6
immortal technique,403,231,1,0.0024813895781637717,0.004329004329004329,hollywood drive by,2008-06-24,2008,6
sick jacken,162,82,0,0.0,0.0,hollywood drive by,2008-06-24,2008,6
sick symphonies,148,94,0,0.0,0.0,hollywood drive by,2008-06-24,2008,6
immortal technique,375,208,4,0.010666666666666666,0.019230769230769232,hysteria,0,0,0
immortal technique,149,80,1,0.006711409395973154,0.0125,impeach the president,0,0,0
immortal technique,390,217,2,0.005128205128205128,0.009216589861751152,impeach the president,0,0,0
immortal technique,417,236,1,0.002398081534772182,0.00423728813559322,internally bleeding,2003-11-18,2003,11
immortal technique,603,317,0,0.0,0.0,leaving the past,2003-11-18,2003,11
immortal technique,421,256,2,0.004750593824228029,0.0078125,locked up freestyle,0,0,0
fatz da assassin,109,72,2,0.01834862385321101,0.027777777777777776,napalm,2011-02-22,2011,2
immortal technique,259,140,2,0.007722007722007722,0.014285714285714285,napalm,2011-02-22,2011,2
goodtime slim,134,90,0,0.0,0.0,napalm,2011-02-22,2011,2
mela machinko,111,54,0,0.0,0.0,natural beauty,0,0,0
immortal technique,281,160,0,0.0,0.0,natural beauty,0,0,0
malcolm x,37,16,0,0.0,0.0,no mercy,2001-09-18,2001,9
immortal technique,502,267,2,0.00398406374501992,0.00749063670411985,no mercy,2001-09-18,2001,9
slaine,174,83,2,0.011494252873563218,0.024096385542168676,nuclear medicinemen,2009-07-14,2009,7
ill bill] 2x,32,19,0,0.0,0.0,nuclear medicinemen,2009-07-14,2009,7
everlast,136,75,2,0.014705882352941176,0.02666666666666667,nuclear medicinemen,2009-07-14,2009,7
immortal technique,146,76,3,0.02054794520547945,0.039473684210526314,nuclear medicinemen,2009-07-14,2009,7
q-unique,139,89,3,0.02158273381294964,0.033707865168539325,nuclear medicinemen,2009-07-14,2009,7
immortal technique,71,40,0,0.0,0.0,one (remix),2003-11-18,2003,11
akir,229,127,0,0.0,0.0,one (remix),2003-11-18,2003,11
immortal technique,66,66,0,0.0,0.0,one (remix),2003-11-18,2003,11
immortal technqique,249,124,0,0.0,0.0,one (remix),2003-11-18,2003,11
immotal technique,139,73,0,0.0,0.0,one (remix),2003-11-18,2003,11
immortal technique parole officer,42,26,0,0.0,0.0,parole (evil genius mix),0,0,0
immortal technique,290,167,2,0.006896551724137931,0.011976047904191617,parole (evil genius mix),0,0,0
immortal technique,319,191,2,0.006269592476489028,0.010471204188481676,parole (evil genius mix),0,0,0
woman,81,51,0,0.0,0.0,parole (evil genius mix),0,0,0
immortal technique],81,51,0,0.0,0.0,parole (evil genius mix),0,0,0
immortal technique,564,313,3,0.005319148936170213,0.009584664536741214,reverse pimpology,2008-06-24,2008,6
mojo and immortal technique,230,123,0,0.0,0.0,reverse pimpology,2008-06-24,2008,6
jean grae,158,98,1,0.006329113924050633,0.01020408163265306,the illest,2001-09-18,2001,9
pumpkinhead,159,83,0,0.0,0.0,the illest,2001-09-18,2001,9
immortal technique,184,121,0,0.0,0.0,the illest,2001-09-18,2001,9
immortal technique,2,2,0,0.0,0.0,the people are shit,0,0,0
immortal technique,380,212,0,0.0,0.0,the people are shit,0,0,0
immortal technique,701,360,0,0.0,0.0,the point of no return,2003-11-18,2003,11
immortal technique,1161,566,2,0.0017226528854435831,0.0035335689045936395,the poverty of philosophy,2001-09-18,2001,9
immortal technique,480,270,2,0.004166666666666667,0.007407407407407408,the prophecy,2001-09-18,2001,9
the next,137,75,1,0.0072992700729927005,0.013333333333333334,this american life,0,0,0
next,63,36,0,0.0,0.0,this american life,0,0,0
talib kweli,137,74,0,0.0,0.0,this american life,0,0,0
]immortal technique,133,74,0,0.0,0.0,this american life,0,0,0
immortal technique,413,232,1,0.002421307506053269,0.004310344827586207,watchout,0,0,0
immortal technique,55,30,0,0.0,0.0,watchout (remix),2008-06-24,2008,6
immortal technique,334,195,1,0.0029940119760479044,0.005128205128205128,watchout (remix),2008-06-24,2008,6
jay rock,514,275,6,0.011673151750972763,0.02181818181818182,boomerang,2011-07-26,2011,7
jay rock,1236,666,11,0.00889967637540453,0.016516516516516516,how to rob '09,2009-05-12,2009,5
jay rock,474,246,0,0.0,0.0,just like me,2011-07-26,2011,7
j. black,180,66,0,0.0,0.0,just like me,2011-07-26,2011,7
