food_word,food_word_count,artist,food_word_value,food_word_total,song,release_date,release_year,release_month,food_category_description
rose,1,xxxtentacion,1,1,i do not milly rock (freestyle),2017-03-30,2017,3,Beverages
sauce,1,fifty grand,1,1,i don't let go (xxx),2018-12-30,2018,12,"Soups, Sauces, and Gravies"
sugar,2,trevor daniel,1,2,i don't wanna do this anymore (xxxtentacion rework),2017-02-06,2017,2,Sweets
ice,1,xxxtentacion,1,1,if xxxtentacion was in a 2000s web toon,2019-03-26,2019,3,
jelly,1,xxxtentacion,1,1,if xxxtentacion was in a 2000s web toon,2019-03-26,2019,3,Sweets
sauce,2,ski mask the slump god,1,2,iloveitwhentheyrun,2015-11-01,2015,11,"Soups, Sauces, and Gravies"
nut,1,ski mask the slump god,1,1,iloveitwhentheyrun,2015-11-01,2015,11,Nut and Seed Products
drink,1,carlos andrez,1,1,i don't even speak spanish lol,2018-03-16,2018,3,
sauce,1,xxxtentacion,1,1,i don't let go,2018-12-07,2018,12,"Soups, Sauces, and Gravies"
meat,2,xxxtentacion,1,2,i don't let go,2018-12-07,2018,12,Baby Foods
tea,8,xxxtentacion,1,8,#imsippinteainyohood (fukkit remix),2016-02-28,2016,2,Beverages
vegetable,1,robb bank$,1,1,innadat,2016-05-20,2016,5,Baby Foods
vegetable,1,xxxtentacion,1,1,innadat,2016-05-20,2016,5,Baby Foods
drink,1,dirtbike lb,1,1,in pain season,2019-02-15,2019,2,
water,2,xxxtentacion,1,2,"in this bitch lit, free keke & free 2 woop freestyle",2016-04-10,2016,4,Beverages
fry,1,xxxtentacion,1,1,"in this bitch lit, free keke & free 2 woop freestyle",2016-04-10,2016,4,
tea,1,xxxtentacion,1,1,"in this bitch lit, free keke & free 2 woop freestyle",2016-04-10,2016,4,Beverages
tea,8,xxxtentacion,1,8,#imsippinteainyohood,2016-02-26,2016,2,Beverages
tea,1,xxxtentacion,1,1,#imsippinteainyohood (remix),2016-03-17,2016,3,Beverages
tea,7,xxxtentacion with itsoktocry,1,7,#imsippinteainyohood (remix),2016-03-17,2016,3,Beverages
tea,2,itsoktocry,1,2,#imsippinteainyohood (remix),2016-03-17,2016,3,Beverages
meat,1,xxxtentacion,1,1,inuyasha,2014-04-02,2014,4,Baby Foods
apple,1,xxxtentacion,1,1,"i spoke to the devil in miami, he said everything would be fine",2016-04-17,2016,4,Fruits and Fruit Juices
