artist,lyrics_word_count,lyrics_word_count_excl_sw,food_words_count,food_words_perc_all_lyric_words,food_words_perc_lyric_words_excl_sw,song,release_date,release_year,release_month
young scooter,465,260,1,0.002150537634408602,0.0038461538461538464,made it through the struggle,2013-01-01,2013,1
mac dre,572,305,7,0.012237762237762238,0.022950819672131147,all damn day,0,0,0
shima,339,204,0,0.0,0.0,all it takes,1998-04-28,1998,4
mac dre,486,271,8,0.01646090534979424,0.02952029520295203,all it takes,1998-04-28,1998,4
mac dre,244,145,2,0.00819672131147541,0.013793103448275862,andre-n-andre,0,0,0
andre nickatina,345,208,6,0.017391304347826087,0.028846153846153848,andre-n-andre,0,0,0
andre nickatina,2,2,0,0.0,0.0,cutthoat committee,0,0,0
cutthoat committee,460,301,2,0.004347826086956522,0.006644518272425249,cutthoat committee,0,0,0
mac dre,351,185,6,0.017094017094017096,0.032432432432432434,dipped when you see me,2003-11-04,2003,11
mac dre,472,281,2,0.00423728813559322,0.0071174377224199285,doin' what i do,0,0,0
mac dre,432,259,8,0.018518518518518517,0.03088803088803089,early retirement,2004-07-20,2004,7
mac dre,288,162,3,0.010416666666666666,0.018518518518518517,first time i seen her,2001-02-27,2001,2
mac dre,881,487,11,0.012485811577752554,0.022587268993839837,gumbo,1996-12-06,1996,12
mac dre,109,61,2,0.01834862385321101,0.03278688524590164,hot jalapeños,2008-08-19,2008,8
mac dre,161,101,1,0.006211180124223602,0.009900990099009901,hot jalapeños,2008-08-19,2008,8
smoov-e,152,110,7,0.046052631578947366,0.06363636363636363,hot jalapeños,2008-08-19,2008,8
smoov e,68,44,0,0.0,0.0,hot jalapeños,2008-08-19,2008,8
mac dre,39,29,0,0.0,0.0,hotta den steam,2003-07-15,2003,7
mac dre,617,399,1,0.0016207455429497568,0.002506265664160401,hotta den steam,2003-07-15,2003,7
mac dre,75,45,1,0.013333333333333334,0.022222222222222223,my homeboy's chevy,2008-06-17,2008,6
andre nickatina,141,81,1,0.0070921985815602835,0.012345679012345678,my homeboy's chevy,2008-06-17,2008,6
