artist,lyrics_word_count,lyrics_word_count_excl_sw,food_words_count,food_words_perc_all_lyric_words,food_words_perc_lyric_words_excl_sw,song,release_date,release_year,release_month
sza,1,1,0,0.0,0.0,.,2020-01-27,2020,1
sza,18,10,0,0.0,0.0,16huncho,2019-03-29,2019,3
quavo,588,343,10,0.017006802721088437,0.029154518950437316,1 night,2018-11-09,2018,11
tee grizzley,470,267,10,0.02127659574468085,0.03745318352059925,1 night,2018-11-09,2018,11
quavo and skippa da flippa,150,81,0,0.0,0.0,2 many bitches,2015-10-22,2015,10
quavo,113,57,1,0.008849557522123894,0.017543859649122806,2 many bitches,2015-10-22,2015,10
skippa da flippa,147,70,3,0.02040816326530612,0.04285714285714286,2 many bitches,2015-10-22,2015,10
quavo,671,360,0,0.0,0.0,2 piece,0,0,0
mally mall,79,48,0,0.0,0.0,2 piece,0,0,0
rayven justice,73,35,0,0.0,0.0,2 piece,0,0,0
bebe rexha,331,197,0,0.0,0.0,2 souls on fire,2018-04-13,2018,4
quavo,299,176,0,0.0,0.0,2 souls on fire,2018-04-13,2018,4
,22,13,0,0.0,0.0,2 souls on fire,2018-04-13,2018,4
yrn lingo,135,75,1,0.007407407407407408,0.013333333333333334,acting up (fuck it up),2017-08-06,2017,8
quavo,163,88,2,0.012269938650306749,0.022727272727272728,acting up (fuck it up),2017-08-06,2017,8
quavo,348,165,0,0.0,0.0,addicted to gangsta,2015-10-22,2015,10
peewee longway,104,70,1,0.009615384615384616,0.014285714285714285,addicted to gangsta,2015-10-22,2015,10
hoodrich pablo juan,125,73,1,0.008,0.0136986301369863,addicted to gangsta,2015-10-22,2015,10
"karol g, bad bunny & quavo",41,37,0,0.0,0.0,ahora me llama (remix),2017-10-06,2017,10
karol g,230,178,2,0.008695652173913044,0.011235955056179775,ahora me llama (remix),2017-10-06,2017,10
quavo,264,174,0,0.0,0.0,ahora me llama (remix),2017-10-06,2017,10
bad bunny,167,135,0,0.0,0.0,ahora me llama (remix),2017-10-06,2017,10
gucci mane,184,92,0,0.0,0.0,aight,2014-03-19,2014,3
quavo,189,118,1,0.005291005291005291,0.00847457627118644,aight,2014-03-19,2014,3
pop smoke,283,172,1,0.0035335689045936395,0.005813953488372093,aim for the moon,0,0,0
quavo,389,236,1,0.002570694087403599,0.00423728813559322,aim for the moon,0,0,0
pop smoke with quavo,35,28,0,0.0,0.0,aim for the moon,0,0,0
sean kingston,240,123,3,0.0125,0.024390243902439025,all i got (remix),2016-05-09,2016,5
quavo,87,51,2,0.022988505747126436,0.0392156862745098,all i got (remix),2016-05-09,2016,5
sean kingston,45,25,0,0.0,0.0,all i got (remix),2016-05-09,2016,5
sean kingston,34,17,0,0.0,0.0,all my life,2017-10-11,2017,10
lil jay,189,101,0,0.0,0.0,all my life,2017-10-11,2017,10
o.t. genasis,385,178,0,0.0,0.0,all the hoes,2016-11-11,2016,11
migo domingo,214,119,1,0.004672897196261682,0.008403361344537815,all week,2016-04-25,2016,4
migo jerz,292,164,4,0.0136986301369863,0.024390243902439025,all week,2016-04-25,2016,4
quavo,131,78,2,0.015267175572519083,0.02564102564102564,all week,2016-04-25,2016,4
mango foo,132,64,0,0.0,0.0,all week,2016-04-25,2016,4
migo jerz,72,41,2,0.027777777777777776,0.04878048780487805,all week,2016-04-25,2016,4
jacquees,429,233,0,0.0,0.0,all you need,2019-11-08,2019,11
quavo,137,77,0,0.0,0.0,all you need,2019-11-08,2019,11
bluff city,142,61,2,0.014084507042253521,0.03278688524590164,all you need,2019-11-08,2019,11
pharrell,262,155,0,0.0,0.0,aries (yugo) part 2 (demo),2018-01-21,2018,1
swae lee,128,65,0,0.0,0.0,aries (yugo) part 2 (demo),2018-01-21,2018,1
quavo,160,98,1,0.00625,0.01020408163265306,aries (yugo) part 2 (demo),2018-01-21,2018,1
big sean,202,118,1,0.0049504950495049506,0.00847457627118644,aries (yugo) part 2 (demo),2018-01-21,2018,1
slim jxmmi,107,53,1,0.009345794392523364,0.018867924528301886,aries (yugo) part 2 (demo),2018-01-21,2018,1
station wagon p,19,12,0,0.0,0.0,aries (yugo) part 2 (demo),2018-01-21,2018,1
pharrell,286,167,0,0.0,0.0,"aries (yugo), pt. 2",2018-03-29,2018,3
swae lee,130,64,0,0.0,0.0,"aries (yugo), pt. 2",2018-03-29,2018,3
quavo,158,95,1,0.006329113924050633,0.010526315789473684,"aries (yugo), pt. 2",2018-03-29,2018,3
big sean,220,125,1,0.004545454545454545,0.008,"aries (yugo), pt. 2",2018-03-29,2018,3
slim jxmmi,107,53,1,0.009345794392523364,0.018867924528301886,"aries (yugo), pt. 2",2018-03-29,2018,3
gradur,414,389,1,0.0024154589371980675,0.002570694087403599,atlanta,2019-11-29,2019,11
quavo,349,198,0,0.0,0.0,babies crying,2013-12-27,2013,12
chaz gotti,169,115,3,0.01775147928994083,0.02608695652173913,babies crying,2013-12-27,2013,12
"yella beezy, quavo, & gucci mane",5,3,0,0.0,0.0,bacc at it again,2019-03-15,2019,3
yella beezy,489,293,2,0.00408997955010225,0.006825938566552901,bacc at it again,2019-03-15,2019,3
quavo,480,287,2,0.004166666666666667,0.006968641114982578,bacc at it again,2019-03-15,2019,3
gucci mane,224,150,2,0.008928571428571428,0.013333333333333334,bacc at it again,2019-03-15,2019,3
quavo,44,30,0,0.0,0.0,bad boy*,0,0,0
rich the kid,44,30,0,0.0,0.0,bad boy*,0,0,0
,77,45,1,0.012987012987012988,0.022222222222222223,bad enough,2017-01-29,2017,1
alexis ayaana,26,8,0,0.0,0.0,bad enough,2017-01-29,2017,1
quavo,77,35,0,0.0,0.0,bad enough,2017-01-29,2017,1
alexis ayanna,25,12,0,0.0,0.0,bad enough,2017-01-29,2017,1
alexis ayaana,54,18,0,0.0,0.0,bad enough,2017-01-29,2017,1
quavo,471,284,0,0.0,0.0,bag on em,2018-04-20,2018,4
migo domingo,186,125,0,0.0,0.0,bag on em,2018-04-20,2018,4
quavo,53,33,0,0.0,0.0,baguetti jungle (snippet),0,0,0
quavo,436,283,5,0.011467889908256881,0.0176678445229682,baile (dance),2018-06-26,2018,6
evander griiim,463,307,8,0.017278617710583154,0.026058631921824105,baile (dance),2018-06-26,2018,6
maleek berry,119,70,0,0.0,0.0,bambi too,2017-11-10,2017,11
jidenna,185,105,0,0.0,0.0,bambi too,2017-11-10,2017,11
quavo,131,64,0,0.0,0.0,bambi too,2017-11-10,2017,11
sark [english translation,164,71,0,0.0,0.0,bambi too,2017-11-10,2017,11
quavo,358,196,0,0.0,0.0,bando to mansion,2015-10-22,2015,10
hoodrich pablo juan,334,179,4,0.011976047904191617,0.0223463687150838,bando to mansion,2015-10-22,2015,10
quavo,379,224,4,0.010554089709762533,0.017857142857142856,beat it,2016-02-19,2016,2
fetty wap,111,69,0,0.0,0.0,beat it,2016-02-19,2016,2
jacquees,532,353,4,0.007518796992481203,0.0113314447592068,b.e.d (remix),2017-01-25,2017,1
quavo,110,54,0,0.0,0.0,b.e.d (remix),2017-01-25,2017,1
ty dolla $ign,170,96,2,0.011764705882352941,0.020833333333333332,b.e.d (remix),2017-01-25,2017,1
quavo,94,66,0,0.0,0.0,bad moves,2020-01-17,2020,1
rich the kid,446,276,1,0.002242152466367713,0.0036231884057971015,bad moves,2020-01-17,2020,1
quavo,430,303,6,0.013953488372093023,0.019801980198019802,bagg move,2018-02-14,2018,2
moneybagg yo,236,157,6,0.025423728813559324,0.03821656050955414,bagg move,2018-02-14,2018,2
quavo,414,263,0,0.0,0.0,baller alert,2016-07-29,2016,7
t.i.,214,132,3,0.014018691588785047,0.022727272727272728,baller alert,2016-07-29,2016,7
brandon marshall,33,14,0,0.0,0.0,baller alert,2016-07-29,2016,7
tyga,562,258,0,0.0,0.0,bel air,2017-07-21,2017,7
quavo,308,148,1,0.003246753246753247,0.006756756756756757,bel air,2017-07-21,2017,7
a-trak,6,5,0,0.0,0.0,believe,2017-07-20,2017,7
lil yachty,580,305,5,0.008620689655172414,0.01639344262295082,believe,2017-07-20,2017,7
quavo,408,223,5,0.012254901960784314,0.02242152466367713,believe,2017-07-20,2017,7
lil yachty,572,297,6,0.01048951048951049,0.020202020202020204,believe (kende remix),2017-10-20,2017,10
quavo,347,184,4,0.011527377521613832,0.021739130434782608,believe (kende remix),2017-10-20,2017,10
quavo,443,254,1,0.002257336343115124,0.003937007874015748,big bro,2018-10-11,2018,10
knxwledge,438,251,1,0.00228310502283105,0.00398406374501992,​bigbrotro_,2020-03-20,2020,3
lil yachty,6,4,0,0.0,0.0,biggest alley oop,2018-10-11,2018,10
quavo,431,284,2,0.004640371229698376,0.007042253521126761,biggest alley oop,2018-10-11,2018,10
gucci mane,310,200,2,0.0064516129032258064,0.01,bipolar,2018-11-30,2018,11
quavo,520,336,6,0.011538461538461539,0.017857142857142856,bipolar,2018-11-30,2018,11
,126,78,2,0.015873015873015872,0.02564102564102564,bipolar,2018-11-30,2018,11
quavo,334,192,3,0.008982035928143712,0.015625,birthday*,0,0,0
quavo,9,7,0,0.0,0.0,bitch back*,0,0,0
partynextdoor,44,24,0,0.0,0.0,bitch back*,0,0,0
don toliver,399,226,2,0.005012531328320802,0.008849557522123894,best you had,2019-05-06,2019,5
rjmrla,272,150,2,0.007352941176470588,0.013333333333333334,blindfold,2017-05-26,2017,5
quavo,405,238,4,0.009876543209876543,0.01680672268907563,blindfold,2017-05-26,2017,5
quavo,18,10,0,0.0,0.0,bobby brown,0,0,0
rjmrla,18,10,0,0.0,0.0,bobby brown,0,0,0
katy perry,243,147,11,0.04526748971193416,0.07482993197278912,bon appétit (muna remix),2017-05-19,2017,5
quavo,157,106,2,0.012738853503184714,0.018867924528301886,blow like a whistle,2017-12-08,2017,12
yrn lingo,371,214,0,0.0,0.0,blow like a whistle,2017-12-08,2017,12
quavo,438,258,12,0.0273972602739726,0.046511627906976744,bubble gum,2018-08-10,2018,8
quavo,59,38,0,0.0,0.0,build*,2019-01-01,2019,1
,56,36,0,0.0,0.0,build*,2019-01-01,2019,1
teyana taylor,56,36,0,0.0,0.0,build*,2019-01-01,2019,1
quavo,18,10,0,0.0,0.0,bull***,0,0,0
,18,10,0,0.0,0.0,bull***,0,0,0
teyana taylor,18,10,0,0.0,0.0,bull***,0,0,0
quavo,18,10,0,0.0,0.0,bullshit,0,0,0
,18,10,0,0.0,0.0,bullshit,0,0,0
teyana taylor,18,10,0,0.0,0.0,bullshit,0,0,0
quavo,370,219,1,0.002702702702702703,0.0045662100456621,burner,2016-12-22,2016,12
berner,241,140,0,0.0,0.0,burner,2016-12-22,2016,12
quavo,251,162,2,0.00796812749003984,0.012345679012345678,butterfly effect (remix),2017-09-29,2017,9
quavo,181,94,1,0.0055248618784530384,0.010638297872340425,call mama,2018-11-07,2018,11
