food_word,food_word_count,artist,food_word_value,food_word_total,song,release_date,release_year,release_month,food_category_description
nut,1,21 savage,1,1,100,2016-12-21,2016,12,Nut and Seed Products
donut,1,21 savage,1,1,100,2016-12-21,2016,12,
chowder,1,21 savage,1,1,12 am,2015-07-02,2015,7,
ice,1,21 savage,1,1,12 am,2015-07-02,2015,7,
cheddar,2,21 savage,1,2,1.5,2018-12-21,2018,12,Dairy and Egg Products
orange,1,young dolph,1,1,150,2016-08-26,2016,8,Fruits and Fruit Juices
soda,1,young dolph,1,1,150,2016-08-26,2016,8,Baked Products
bread,1,young dolph,1,1,150,2016-08-26,2016,8,Baked Products
orange soda,1,young dolph,-1,-1,150,2016-08-26,2016,8,
salad,1,big sean,1,1,21,0,0,0,
water,1,skooly,1,1,21 guns,2016-10-07,2016,10,Beverages
cooking,1,21 savage,1,1,21 guns,2016-10-07,2016,10,Beverages
steak,1,21 savage,1,1,21 guns,2016-10-07,2016,10,Beef Products
shrimp,1,21 savage,1,1,21 guns,2016-10-07,2016,10,Finfish and Shellfish Products
candy,1,21 savage,1,1,21 savage & metro boomin - x (osno1 21 pound timbs flip),2017-12-04,2017,12,Sweets
brandy,1,21 savage,1,1,21 savage & metro boomin - x (osno1 21 pound timbs flip),2017-12-04,2017,12,
fruit,1,21 savage,1,1,21 savage & metro boomin - x (osno1 21 pound timbs flip),2017-12-04,2017,12,Baby Foods
fruit,1,future,1,1,21 savage & metro boomin - x (osno1 21 pound timbs flip),2017-12-04,2017,12,Baby Foods
fruit roll,1,21 savage,1,1,21 savage & metro boomin - x (osno1 21 pound timbs flip),2017-12-04,2017,12,
fruit roll,1,future,1,1,21 savage & metro boomin - x (osno1 21 pound timbs flip),2017-12-04,2017,12,
molasses,1,quavo,1,1,2 seater,2018-08-03,2018,8,Baked Products
drink,1,quavo,1,1,2 seater,2018-08-03,2018,8,
rice,1,quavo,1,1,2 seater,2018-08-03,2018,8,Cereal Grains and Pasta
gravy,1,quavo,1,1,2 seater,2018-08-03,2018,8,"Soups, Sauces, and Gravies"
ice,2,kafani,1,2,30 clip,0,0,0,
curry,1,keak da sneak,1,1,30 clip,0,0,0,
rabbit,1,keak da sneak,1,1,30 clip,0,0,0,"Lamb, Veal, and Game Products"
baguette,1,21 savage,1,1,10 freaky girls,2018-11-02,2018,11,
brandy,2,21 savage,1,2,10 freaky girls,2018-11-02,2018,11,
candy,1,21 savage,1,1,10 freaky girls,2018-11-02,2018,11,Sweets
beef,2,21 savage,1,2,10 freaky girls,2018-11-02,2018,11,Beef Products
seafood,1,21 savage,1,1,10 freaky girls,2018-11-02,2018,11,
peach,1,childish gambino,1,1,12.38,2020-03-15,2020,3,Fruits and Fruit Juices
papaya,1,childish gambino,1,1,12.38,2020-03-15,2020,3,Fruits and Fruit Juices
chocolate,1,childish gambino,1,1,12.38,2020-03-15,2020,3,Sweets
salt,1,childish gambino,1,1,12.38,2020-03-15,2020,3,Spices and Herbs
orange,1,childish gambino,1,1,12.38,2020-03-15,2020,3,Fruits and Fruit Juices
omelet,1,childish gambino,1,1,12.38,2020-03-15,2020,3,Dairy and Egg Products
ice,1,21 savage,1,1,12.38,2020-03-15,2020,3,
popeyes,2,21 savage,1,2,12.38,2020-03-15,2020,3,Fast Foods
chicken,1,21 savage,1,1,12.38,2020-03-15,2020,3,Poultry Products
spinach,1,21 savage,1,1,12.38,2020-03-15,2020,3,Vegetables and Vegetable Products
dark chocolate,1,childish gambino,1,1,12.38,2020-03-15,2020,3,
sea salt,1,childish gambino,1,1,12.38,2020-03-15,2020,3,
salt,1,partynextdoor,1,1,1night,2018-04-25,2018,4,Spices and Herbs
pepper,1,partynextdoor,1,1,1night,2018-04-25,2018,4,Vegetables and Vegetable Products
pickle,1,21 savage,1,1,4 5 (remix),2018-04-06,2018,4,Vegetables and Vegetable Products
sauce,7,don ace,1,7,4hunna mixtape,2000-04-12,2000,4,"Soups, Sauces, and Gravies"
cake,1,21 savage,1,1,ass thang,0,0,0,Baked Products
fish,2,21 savage,1,2,ass thang,0,0,0,Finfish and Shellfish Products
bread,1,yung miami,1,1,​a&t,2018-12-21,2018,12,Baked Products
sugar,2,yung miami,1,2,​a&t,2018-12-21,2018,12,Sweets
sugar,2,21 savage,1,2,​a&t,2018-12-21,2018,12,Sweets
juice,2,21 savage,1,2,baby choppa,0,0,0,Baby Foods
ice,1,21 savage,1,1,baby choppa,0,0,0,
drink,1,21 savage,1,1,backpack*,0,0,0,
bean,1,21 savage,1,1,4l,2018-12-21,2018,12,Legumes and Legume Products
nut,1,21 savage,1,1,4l,2018-12-21,2018,12,Nut and Seed Products
