artist,lyrics_word_count,lyrics_word_count_excl_sw,food_words_count,food_words_perc_all_lyric_words,food_words_perc_lyric_words_excl_sw,song,release_date,release_year,release_month
notorious b.i.g. faith evans,312,193,3,0.009615384615384616,0.015544041450777202,1970 somethin',2005-12-20,2005,12
faith evans big,181,110,0,0.0,0.0,1970 somethin',2005-12-20,2005,12
the game faith evans,139,94,0,0.0,0.0,1970 somethin',2005-12-20,2005,12
mary j. blige,109,59,0,0.0,0.0,all i need (remix),1995-04-25,1995,4
notorious b.i.g.,70,38,0,0.0,0.0,all i need (remix),1995-04-25,1995,4
method man,320,158,0,0.0,0.0,all i need (remix),1995-04-25,1995,4
mary j. blige and notorious b.i.g.,42,24,0,0.0,0.0,all i need (remix),1995-04-25,1995,4
method man and mary j. blige,118,80,0,0.0,0.0,all i need (remix),1995-04-25,1995,4
mase,252,149,3,0.011904761904761904,0.020134228187919462,been around the world,1997-08-12,1997,8
notorious b.i.g.,129,51,0,0.0,0.0,been around the world,1997-08-12,1997,8
puff daddy,293,166,5,0.017064846416382253,0.030120481927710843,been around the world,1997-08-12,1997,8
diddy,427,241,1,0.00234192037470726,0.004149377593360996,been around the world,1997-08-12,1997,8
too $hort,292,163,3,0.010273972602739725,0.018404907975460124,big booty hoes,1999-12-07,1999,12
notorious b.i.g.,324,183,7,0.021604938271604937,0.03825136612021858,big booty hoes,1999-12-07,1999,12
biggie,93,54,0,0.0,0.0,big booty hoes,1999-12-07,1999,12
scoob,243,143,3,0.012345679012345678,0.02097902097902098,budweiser superfest freestyle,0,0,0
the notorious b.i.g.,183,112,1,0.00546448087431694,0.008928571428571428,budweiser superfest freestyle,0,0,0
2pac,157,89,0,0.0,0.0,budweiser superfest freestyle,0,0,0
shyheim,157,80,0,0.0,0.0,budweiser superfest freestyle,0,0,0
dj mister cee,7,3,0,0.0,0.0,budweiser superfest freestyle,0,0,0
big daddy kane,161,88,1,0.006211180124223602,0.011363636363636364,budweiser superfest freestyle,0,0,0
the notorious b.i.g,246,136,2,0.008130081300813009,0.014705882352941176,can i get witcha,2011-02-26,2011,2
j. cole,332,195,3,0.009036144578313253,0.015384615384615385,can i get witcha,2011-02-26,2011,2
total,399,165,0,0.0,0.0,can't you see,1995-03-27,1995,3
puff daddy b.i.g.,16,7,0,0.0,0.0,can't you see,1995-03-27,1995,3
notorious b.i.g. puff daddy,145,95,2,0.013793103448275862,0.021052631578947368,can't you see,1995-03-27,1995,3
lil' kim,227,123,4,0.01762114537444934,0.032520325203252036,crush on you (remix),1997-06-10,1997,6
lil' cease,223,121,1,0.004484304932735426,0.008264462809917356,crush on you (remix),1997-06-10,1997,6
the notorious b.i.g.,438,186,0,0.0,0.0,crush on you (remix),1997-06-10,1997,6
jermaine dupri,75,47,0,0.0,0.0,dirty b side,1996-10-29,1996,10
da brat,548,292,1,0.0018248175182481751,0.003424657534246575,dirty b side,1996-10-29,1996,10
manuel seal,42,20,0,0.0,0.0,dirty b side,1996-10-29,1996,10
puff daddy,15,7,0,0.0,0.0,flava in ya ear (remix),1994-07-26,1994,7
notorious b.i.g.,127,76,1,0.007874015748031496,0.013157894736842105,flava in ya ear (remix),1994-07-26,1994,7
craig mack,273,183,1,0.003663003663003663,0.00546448087431694,flava in ya ear (remix),1994-07-26,1994,7
rampage,100,58,0,0.0,0.0,flava in ya ear (remix),1994-07-26,1994,7
craig mack,12,10,0,0.0,0.0,flava in ya ear (remix),1994-07-26,1994,7
ll cool j,119,65,6,0.05042016806722689,0.09230769230769231,flava in ya ear (remix),1994-07-26,1994,7
busta rhymes,182,106,2,0.01098901098901099,0.018867924528301886,flava in ya ear (remix),1994-07-26,1994,7
the notorious b.i.g.,498,264,3,0.006024096385542169,0.011363636363636364,friend of mine,1994-09-13,1994,9
lil' kim,287,151,3,0.010452961672473868,0.019867549668874173,friend of mine,1994-09-13,1994,9
the notorious b.i.g.,121,61,0,0.0,0.0,friend of mine,1994-09-13,1994,9
the notorious b.i.g.,57,28,0,0.0,0.0,get your grind on,2005-12-20,2005,12
the notorious b.i.g.,342,205,5,0.014619883040935672,0.024390243902439025,get your grind on,2005-12-20,2005,12
freeway,176,98,0,0.0,0.0,get your grind on,2005-12-20,2005,12
big punisher,171,95,3,0.017543859649122806,0.031578947368421054,get your grind on,2005-12-20,2005,12
