artist,lyrics_word_count,lyrics_word_count_excl_sw,food_words_count,food_words_perc_all_lyric_words,food_words_perc_lyric_words_excl_sw,song,release_date,release_year,release_month
abbas savage,195,185,0,0.0,0.0,0.44 dolar,2019-08-11,2019,8
21 savage,567,337,2,0.003527336860670194,0.005934718100890208,100,2016-12-21,2016,12
21 savage,365,231,2,0.005479452054794521,0.008658008658008658,12 am,2015-07-02,2015,7
21 savage,318,183,2,0.006289308176100629,0.01092896174863388,1.5,2018-12-21,2018,12
offset,153,96,0,0.0,0.0,1.5,2018-12-21,2018,12
young dolph,17,17,0,0.0,0.0,150,2016-08-26,2016,8
young dolph,315,160,2,0.006349206349206349,0.0125,150,2016-08-26,2016,8
21 savage,89,57,0,0.0,0.0,150,2016-08-26,2016,8
young dolph,6,5,0,0.0,0.0,16koinz theme song,0,0,0
16koinzbry,91,52,0,0.0,0.0,16koinz theme song,0,0,0
16koinzbry,3,2,0,0.0,0.0,21,0,0,0
big sean,390,254,1,0.002564102564102564,0.003937007874015748,21,0,0,0
skooly,435,278,1,0.0022988505747126436,0.0035971223021582736,21 guns,2016-10-07,2016,10
21 savage,130,69,3,0.023076923076923078,0.043478260869565216,21 guns,2016-10-07,2016,10
skooly,91,71,0,0.0,0.0,21 savage cleanup page,0,0,0
skooly,128,89,0,0.0,0.0,21 savage intro,2016-06-15,2016,6
21 savage,393,235,4,0.010178117048346057,0.01702127659574468,21 savage & metro boomin - x (osno1 21 pound timbs flip),2017-12-04,2017,12
future,152,86,2,0.013157894736842105,0.023255813953488372,21 savage & metro boomin - x (osno1 21 pound timbs flip),2017-12-04,2017,12
21 savage,325,192,0,0.0,0.0,21 way (freestyle),2016-05-12,2016,5
quavo,411,240,4,0.009732360097323601,0.016666666666666666,2 seater,2018-08-03,2018,8
dj holiday,42,26,0,0.0,0.0,2 seater,2018-08-03,2018,8
21 savage,152,104,0,0.0,0.0,2 seater,2018-08-03,2018,8
21 savage,312,156,0,0.0,0.0,30 clip,0,0,0
kafani,70,49,2,0.02857142857142857,0.04081632653061224,30 clip,0,0,0
keak da sneak,117,66,2,0.017094017094017096,0.030303030303030304,30 clip,0,0,0
project pat,118,77,0,0.0,0.0,30 clip,0,0,0
metro boomin,6,1,0,0.0,0.0,10 freaky girls,2018-11-02,2018,11
21 savage,581,346,7,0.012048192771084338,0.02023121387283237,10 freaky girls,2018-11-02,2018,11
childish gambino,626,352,8,0.012779552715654952,0.022727272727272728,12.38,2020-03-15,2020,3
kadhja bonet,30,16,0,0.0,0.0,12.38,2020-03-15,2020,3
21 savage,188,113,5,0.026595744680851064,0.04424778761061947,12.38,2020-03-15,2020,3
ink,112,58,0,0.0,0.0,12.38,2020-03-15,2020,3
partynextdoor,404,251,2,0.0049504950495049506,0.00796812749003984,1night,2018-04-25,2018,4
21 savage,260,166,0,0.0,0.0,1night,2018-04-25,2018,4
don ace,317,198,0,0.0,0.0,4 5 (remix),2018-04-06,2018,4
21 savage,160,104,1,0.00625,0.009615384615384616,4 5 (remix),2018-04-06,2018,4
don ace,73,44,7,0.0958904109589041,0.1590909090909091,4hunna mixtape,2000-04-12,2000,4
key!,282,146,0,0.0,0.0,50 round drum,2015-08-09,2015,8
21 savage,80,51,0,0.0,0.0,50 round drum,2015-08-09,2015,8
21 savage,625,375,0,0.0,0.0,against me,0,0,0
young nudy,344,212,0,0.0,0.0,against me,0,0,0
21 savage,431,189,0,0.0,0.0,air it out,2015-10-15,2015,10
young nudy,146,79,0,0.0,0.0,air it out,2015-10-15,2015,10
21 savage,3,2,0,0.0,0.0,another body*,0,0,0
21 savage,23,14,0,0.0,0.0,another body*,0,0,0
no plug,89,54,0,0.0,0.0,a savage,2017-03-07,2017,3
no plug] 2x,123,78,0,0.0,0.0,a savage,2017-03-07,2017,3
no plug,43,25,0,0.0,0.0,a savage,2017-03-07,2017,3
21 savage,107,62,0,0.0,0.0,a savage,2017-03-07,2017,3
21 savage,459,284,3,0.006535947712418301,0.01056338028169014,ass thang,0,0,0
21 savage,3,3,0,0.0,0.0,​a&t,2018-12-21,2018,12
yung miami,349,181,3,0.008595988538681949,0.016574585635359115,​a&t,2018-12-21,2018,12
21 savage,327,190,2,0.0061162079510703364,0.010526315789473684,​a&t,2018-12-21,2018,12
21 savage,430,283,3,0.0069767441860465115,0.01060070671378092,baby choppa,0,0,0
21 savage,119,75,1,0.008403361344537815,0.013333333333333334,backpack*,0,0,0
21 savage,685,408,2,0.00291970802919708,0.004901960784313725,4l,2018-12-21,2018,12
young nudy,239,137,0,0.0,0.0,4l,2018-12-21,2018,12
21 savage,1012,669,10,0.009881422924901186,0.014947683109118086,7 min freestyle,2017-07-07,2017,7
21 savage,314,218,2,0.006369426751592357,0.009174311926605505,act a fool,0,0,0
21 savage,499,342,4,0.008016032064128256,0.011695906432748537,all the smoke,2017-06-01,2017,6
21 savage,646,375,4,0.006191950464396285,0.010666666666666666,​asmr,2018-12-21,2018,12
21 savage,509,344,11,0.021611001964636542,0.03197674418604651,baby girl,2017-07-07,2017,7
21 savage,361,216,1,0.002770083102493075,0.004629629629629629,back started,2016-10-04,2016,10
21 savage,471,331,1,0.0021231422505307855,0.0030211480362537764,bad business,2017-07-07,2017,7
21 savage & metro boomin,475,322,1,0.002105263157894737,0.003105590062111801,bad guy,2016-07-15,2016,7
notoriou5 bino,327,170,0,0.0,0.0,bad guy,2016-10-04,2016,10
21 savage,189,117,1,0.005291005291005291,0.008547008547008548,bad guy,2016-10-04,2016,10
notoriou5 bino,134,67,1,0.007462686567164179,0.014925373134328358,bad guy,2016-10-04,2016,10
notoriou5 bino,30,20,0,0.0,0.0,bad guy,2018-02-22,2018,2
24 flakko,675,394,1,0.0014814814814814814,0.0025380710659898475,bad guy,2018-02-22,2018,2
21 savage,30,20,0,0.0,0.0,bad guy,2018-02-22,2018,2
notoriou5 bino,134,67,1,0.007462686567164179,0.014925373134328358,bad guy,2018-02-22,2018,2
21 savage,620,391,1,0.0016129032258064516,0.0025575447570332483,bad guy,2020-06-15,2020,6
xbf,2,2,0,0.0,0.0,bad guy,2020-06-15,2020,6
notoriou5 bino,132,69,0,0.0,0.0,bad guy,2020-06-15,2020,6
lil keed,611,375,12,0.019639934533551555,0.032,balenciaga,2018-11-11,2018,11
21 savage,258,165,3,0.011627906976744186,0.01818181818181818,balenciaga,2018-11-11,2018,11
21 savage,550,291,1,0.0018181818181818182,0.003436426116838488,​ball w/o you,2018-12-21,2018,12
kiubbah malon,410,336,1,0.0024390243902439024,0.002976190476190476,bank account,2018-01-28,2018,1
king los,491,278,6,0.012219959266802444,0.02158273381294964,bank account (remix),2017-12-16,2017,12
breydawg,351,195,1,0.002849002849002849,0.005128205128205128,bank account (remix),2017-12-03,2017,12
tyus,296,114,0,0.0,0.0,between us (remix),2017-06-22,2017,6
21 savage,262,156,1,0.003816793893129771,0.00641025641025641,between us (remix),2017-06-22,2017,6
21 savage,506,340,0,0.0,0.0,bitch nigga please,2015-12-01,2015,12
21 savage,86,60,0,0.0,0.0,black kkk,2016-10-28,2016,10
big flock,80,67,0,0.0,0.0,black kkk,2016-10-28,2016,10
big flock,145,85,4,0.027586206896551724,0.047058823529411764,black kkk,2016-10-28,2016,10
21 savage,735,437,2,0.0027210884353741495,0.004576659038901602,bank account,2017-07-07,2017,7
21 savage,233,153,4,0.017167381974248927,0.026143790849673203,big facts,0,0,0
,4,3,0,0.0,0.0,blessings,2019-11-17,2019,11
arin ray,76,45,0,0.0,0.0,blessings,2019-11-17,2019,11
arin ray,96,59,0,0.0,0.0,blessings,2019-11-17,2019,11
21 savage,95,61,2,0.021052631578947368,0.03278688524590164,blessings,2019-11-17,2019,11
21 savage,465,319,1,0.002150537634408602,0.003134796238244514,boomin',2017-06-06,2017,6
future,10,8,0,0.0,0.0,both sides,2017-07-21,2017,7
21 savage,326,198,5,0.015337423312883436,0.025252525252525252,both sides,2017-07-21,2017,7
nav,138,85,1,0.007246376811594203,0.011764705882352941,both sides,2017-07-21,2017,7
21 savage,593,338,6,0.01011804384485666,0.01775147928994083,brains,0,0,0
21 savage,711,418,5,0.007032348804500703,0.011961722488038277,​break da law,2018-12-21,2018,12
21 savage,288,153,0,0.0,0.0,brick & a benz,2019-01-31,2019,1
mojo sys,263,163,5,0.019011406844106463,0.03067484662576687,brick & a benz,2019-01-31,2019,1
21 savage,44,32,1,0.022727272727272728,0.03125,broke bitch,0,0,0
yamine,213,126,3,0.014084507042253521,0.023809523809523808,broke bitch,0,0,0
yamine,18,10,0,0.0,0.0,built like this,0,0,0
dae dae,184,96,0,0.0,0.0,bullshit,2016-11-02,2016,11
21 savage,188,119,0,0.0,0.0,bullshit,2016-11-02,2016,11
dae dae,22,12,0,0.0,0.0,bullshit,2016-11-02,2016,11
g herbo,526,294,5,0.009505703422053232,0.017006802721088437,by any means,2020-02-28,2020,2
21 savage,278,159,1,0.0035971223021582736,0.006289308176100629,by any means,2020-02-28,2020,2
21 savage,3,2,0,0.0,0.0,camouflage*,0,0,0
21 savage,31,19,0,0.0,0.0,camouflage*,0,0,0
21 savage,352,255,11,0.03125,0.043137254901960784,chill pill,2017-12-11,2017,12
a1 billionaire,226,159,3,0.01327433628318584,0.018867924528301886,chill pill,2017-12-11,2017,12
ty dolla $ign,8,5,0,0.0,0.0,clout,2018-05-09,2018,5
ty dolla $ign,325,194,4,0.012307692307692308,0.020618556701030927,clout,2018-05-09,2018,5
21 savage,78,46,0,0.0,0.0,clout,2018-05-09,2018,5
gucci mane,382,239,0,0.0,0.0,cocky,2018-02-16,2018,2
21 savage,194,114,0,0.0,0.0,cocky,2018-02-16,2018,2
a$ap rocky,392,224,4,0.01020408163265306,0.017857142857142856,cocky,2018-02-16,2018,2
skooly,89,66,0,0.0,0.0,cocky,2018-02-16,2018,2
,74,55,0,0.0,0.0,cocky,2018-02-16,2018,2
21 savage,749,448,3,0.004005340453938585,0.006696428571428571,come and get your bitch,0,0,0
21 savage,21,16,0,0.0,0.0,concrete jungle,0,0,0
21 savage,354,214,4,0.011299435028248588,0.018691588785046728,coocoo*,0,0,0
gunna,242,128,0,0.0,0.0,​can't leave without it,2018-12-21,2018,12
21 savage,280,160,0,0.0,0.0,​can't leave without it,2018-12-21,2018,12
lil baby,259,152,4,0.015444015444015444,0.02631578947368421,​can't leave without it,2018-12-21,2018,12
21 savage,83,56,0,0.0,0.0,close my eyes,2017-07-07,2017,7
future,83,56,0,0.0,0.0,close my eyes,2017-07-07,2017,7
21 savage,743,482,2,0.0026917900403768506,0.004149377593360996,close my eyes,2017-07-07,2017,7
rich brian,421,251,0,0.0,0.0,crisis,2017-11-09,2017,11
21 savage,181,117,1,0.0055248618784530384,0.008547008547008548,crisis,2017-11-09,2017,11
"21 savage, offset & metro boomin",10,6,0,0.0,0.0,darth vader,2017-10-31,2017,10
offset,529,304,6,0.011342155009451797,0.019736842105263157,darth vader,2017-10-31,2017,10
21 savage,165,96,0,0.0,0.0,darth vader,2017-10-31,2017,10
21 savage,120,73,1,0.008333333333333333,0.0136986301369863,deal,2018-02-27,2018,2
casino,315,186,0,0.0,0.0,deal,2018-02-27,2018,2
21 savage,604,310,1,0.0016556291390728477,0.0032258064516129032,deserve,2015-12-01,2015,12
21 savage,28,28,0,0.0,0.0,designer,0,0,0
raskegutterofficial,406,388,1,0.0024630541871921183,0.002577319587628866,designer,0,0,0
omarghini,27,26,0,0.0,0.0,designer,0,0,0
ra$ke gutter,335,324,1,0.0029850746268656717,0.0030864197530864196,designer på min fot,0,0,0
l-cash,99,91,0,0.0,0.0,designer på min fot,0,0,0
mobsquad nard,16,6,0,0.0,0.0,did dat,2016-02-05,2016,2
1200 yak,263,154,0,0.0,0.0,did dat,2016-02-05,2016,2
mobsquad nard,409,250,0,0.0,0.0,did dat,2016-02-05,2016,2
lil durk,8,3,0,0.0,0.0,die slow,2019-08-02,2019,8
lil durk,501,272,4,0.007984031936127744,0.014705882352941176,die slow,2019-08-02,2019,8
21 savage,415,231,2,0.004819277108433735,0.008658008658008658,die slow,2019-08-02,2019,8
21 savage,444,285,7,0.015765765765765764,0.02456140350877193,dip dip,2015-12-01,2015,12
21 savage,551,338,8,0.014519056261343012,0.023668639053254437,dirty*,2020-05-09,2020,5
21 savage,357,222,0,0.0,0.0,dirty k,2015-12-01,2015,12
lotto savage,126,61,0,0.0,0.0,dirty k,2015-12-01,2015,12
offset,561,356,10,0.017825311942959002,0.028089887640449437,disrespectful,2017-10-31,2017,10
21 savage,350,229,7,0.02,0.03056768558951965,disrespectful,2017-10-31,2017,10
21 savage,385,282,0,0.0,0.0,don't play,2017-08-18,2017,8
no plug,112,68,2,0.017857142857142856,0.029411764705882353,don't play,2017-08-18,2017,8
21 savage,265,165,0,0.0,0.0,doo doo,0,0,0
offset,131,81,1,0.007633587786259542,0.012345679012345678,doo doo,0,0,0
quavo,167,86,0,0.0,0.0,dope on my shoe,0,0,0
21 savage,156,100,1,0.00641025641025641,0.01,dope on my shoe,0,0,0
gucci mane,22,12,0,0.0,0.0,down,2015-12-26,2015,12
21 savage,111,67,1,0.009009009009009009,0.014925373134328358,down,2015-12-26,2015,12
gucci mane,406,203,0,0.0,0.0,down,2015-12-26,2015,12
tone tone,124,77,0,0.0,0.0,down,2015-12-26,2015,12
21 savage,588,323,5,0.008503401360544218,0.015479876160990712,drinkin and driving,2015-05-25,2015,5
21 savage,307,181,5,0.016286644951140065,0.027624309392265192,dead people,2017-07-07,2017,7
21 savage,405,266,2,0.0049382716049382715,0.007518796992481203,don't come out the house,2018-11-02,2018,11
lil juice,16,10,0,0.0,0.0,don't come out the house,2018-11-02,2018,11
