artist,lyrics_word_count,lyrics_word_count_excl_sw,food_words_count,food_words_perc_all_lyric_words,food_words_perc_lyric_words_excl_sw,song,release_date,release_year,release_month
xxxtentacion,171,86,1,0.005847953216374269,0.011627906976744186,i do not milly rock (freestyle),2017-03-30,2017,3
fifty grand,136,74,1,0.007352941176470588,0.013513513513513514,i don't let go (xxx),2018-12-30,2018,12
fifty grand,10,6,0,0.0,0.0,i don't wanna do this anymore (baltimore club music remix),2019-06-01,2019,6
trevor daniel,364,192,2,0.005494505494505495,0.010416666666666666,i don't wanna do this anymore (xxxtentacion rework),2017-02-06,2017,2
xxxtentacion,75,55,0,0.0,0.0,if scarlxrd was on xne minute,2018-12-08,2018,12
scarlxrd,143,78,0,0.0,0.0,if scarlxrd was on xne minute,2018-12-08,2018,12
xxxtentacion  with scarlxrd,50,41,0,0.0,0.0,if scarlxrd was on xne minute,2018-12-08,2018,12
matt chapman,17,17,0,0.0,0.0,if xxxtentacion was in a 2000s web toon,2019-03-26,2019,3
mike chapman,8,8,0,0.0,0.0,if xxxtentacion was in a 2000s web toon,2019-03-26,2019,3
xxxtentacion,138,102,2,0.014492753623188406,0.0196078431372549,if xxxtentacion was in a 2000s web toon,2019-03-26,2019,3
dacoool,3,3,0,0.0,0.0,if xxxtentacion was in a 2000s web toon,2019-03-26,2019,3
xxxtentacion,204,136,0,0.0,0.0,igotplentydicktoshare,2016-01-19,2016,1
xxxtentacion,434,276,0,0.0,0.0,iloveitwhentheyrun,2015-11-01,2015,11
yung bans,178,105,0,0.0,0.0,iloveitwhentheyrun,2015-11-01,2015,11
ski mask the slump god,122,69,3,0.02459016393442623,0.043478260869565216,iloveitwhentheyrun,2015-11-01,2015,11
xxxtentacion,354,232,0,0.0,0.0,i luv my clique like kanye west,2016-03-13,2016,3
wifisfuneral,164,127,0,0.0,0.0,i luv my clique like kanye west,2016-03-13,2016,3
xxxtentacion,206,144,0,0.0,0.0,i & m,2015-02-25,2015,2
xxxtentacion,18,10,0,0.0,0.0,i died,0,0,0
carlos andrez,122,78,1,0.00819672131147541,0.01282051282051282,i don't even speak spanish lol,2018-03-16,2018,3
judah,188,106,0,0.0,0.0,i don't even speak spanish lol,2018-03-16,2018,3
rio santana,113,52,0,0.0,0.0,i don't even speak spanish lol,2018-03-16,2018,3
xxxtentacion,80,43,0,0.0,0.0,i don't even speak spanish lol,2018-03-16,2018,3
xxxtentacion,247,145,3,0.012145748987854251,0.020689655172413793,i don't let go,2018-12-07,2018,12
xxxtentacion,199,73,0,0.0,0.0,i don't wanna do this anymore,2016-04-14,2016,4
xxxtentacion,42,23,0,0.0,0.0,imaloneimsorrycinthia,2015-09-30,2015,9
sample,4,2,0,0.0,0.0,imaloneimsorrycinthia,2015-09-30,2015,9
sample,49,33,0,0.0,0.0,imalonesorry (remix),2014-01-01,2014,1
lil reddot,9,7,0,0.0,0.0,imalonesorry (remix),2014-01-01,2014,1
lil reddot,18,10,0,0.0,0.0,imsippinteainyohood,0,0,0
xxxtentacion,274,187,8,0.029197080291970802,0.0427807486631016,#imsippinteainyohood (fukkit remix),2016-02-28,2016,2
fukkit,71,43,0,0.0,0.0,#imsippinteainyohood (fukkit remix),2016-02-28,2016,2
mzvee,210,118,0,0.0,0.0,i'm yours (remix),2017-10-05,2017,10
xxxtentacion,54,38,0,0.0,0.0,i'm yours (remix),2017-10-05,2017,10
sizzla,97,53,0,0.0,0.0,i'm yours (remix),2017-10-05,2017,10
xxxtentacion,79,34,0,0.0,0.0,indecision,2017-12-11,2017,12
xxxtentacion,411,191,0,0.0,0.0,​infinity (888),2018-03-16,2018,3
joey bada$$,412,187,0,0.0,0.0,​infinity (888),2018-03-16,2018,3
robb bank$,223,155,1,0.004484304932735426,0.0064516129032258064,innadat,2016-05-20,2016,5
xxxtentacion,233,155,1,0.004291845493562232,0.0064516129032258064,innadat,2016-05-20,2016,5
xxxtentacion,50,27,0,0.0,0.0,in pain season,2019-02-15,2019,2
young adz,314,160,0,0.0,0.0,in pain season,2019-02-15,2019,2
dirtbike lb,234,122,1,0.004273504273504274,0.00819672131147541,in pain season,2019-02-15,2019,2
xxxtentacion,161,93,0,0.0,0.0,instabooth freestyle,2017-10-12,2017,10
xxxtentacion,232,100,0,0.0,0.0,instagram live - motivational speech on death,2017-12-28,2017,12
xxxtentacion,47,18,0,0.0,0.0,in the end,2017-08-13,2017,8
xxxtentacion,2,2,0,0.0,0.0,in the end (remix/cover),2019-04-20,2019,4
tyfromthefuturr,99,47,0,0.0,0.0,in the end (remix/cover),2019-04-20,2019,4
xxxtentacion,199,133,4,0.020100502512562814,0.03007518796992481,"in this bitch lit, free keke & free 2 woop freestyle",2016-04-10,2016,4
xxxtentacion,273,184,8,0.029304029304029304,0.043478260869565216,#imsippinteainyohood,2016-02-26,2016,2
xxxtentacion,158,101,1,0.006329113924050633,0.009900990099009901,#imsippinteainyohood (remix),2016-03-17,2016,3
xxxtentacion with itsoktocry,80,49,7,0.0875,0.14285714285714285,#imsippinteainyohood (remix),2016-03-17,2016,3
itsoktocry,127,75,2,0.015748031496062992,0.02666666666666667,#imsippinteainyohood (remix),2016-03-17,2016,3
xxxtentacion,22,10,0,0.0,0.0,intro,2019-06-19,2019,6
xxxtentacion,227,122,0,0.0,0.0,intro,2018-10-14,2018,10
xxxtentacion,216,140,1,0.004629629629629629,0.007142857142857143,inuyasha,2014-04-02,2014,4
drugz,89,54,0,0.0,0.0,inuyasha,2014-04-02,2014,4
xxxtentacion,189,87,1,0.005291005291005291,0.011494252873563218,"i spoke to the devil in miami, he said everything would be fine",2016-04-17,2016,4
xxxtentacion,123,51,0,0.0,0.0,it's all fading to black,2019-12-06,2019,12
mark hoppus,63,27,0,0.0,0.0,it's all fading to black,2019-12-06,2019,12
xxxtentacion,139,58,0,0.0,0.0,it’s all fading to black (demo),0,0,0
xxxtentacion,153,96,0,0.0,0.0,iwatchedhimdrown (intro),2015-11-11,2015,11
ski mask the slump god,184,119,1,0.005434782608695652,0.008403361344537815,iwatchedhimdrown (intro),2015-11-11,2015,11
xxxtentacion,124,93,21,0.1693548387096774,0.22580645161290322,i wonder if bloods watch blue’s clues (og),2016-09-16,2016,9
craig xen,176,130,21,0.11931818181818182,0.16153846153846155,i wonder if bloods watch blue’s clues (og),2016-09-16,2016,9
xxxtentacion,114,83,21,0.18421052631578946,0.25301204819277107,i wonder if bloods watch blue’s clues (patty cake),2016-09-19,2016,9
craig xen,174,128,21,0.1206896551724138,0.1640625,i wonder if bloods watch blue’s clues (patty cake),2016-09-19,2016,9
xxxtentacion,98,45,0,0.0,0.0,jah (xxxtentacion tribute),2018-06-21,2018,6
chris king,796,399,6,0.007537688442211055,0.015037593984962405,jah (xxxtentacion tribute),2018-06-21,2018,6
xxxtentacion,150,67,0,0.0,0.0,jocelyn flores freestyle,0,0,0
xxxtentacion,6,6,0,0.0,0.0,jocelyn flores (remix),2018-05-20,2018,5
papithbk,207,103,0,0.0,0.0,jocelyn flores (remix),2018-05-20,2018,5
papithbk,2,2,0,0.0,0.0,​john carpenter,2014-06-05,2014,6
xxxtentacion,10,6,0,0.0,0.0,​john carpenter,2014-06-05,2014,6
xxxtentacion,157,103,0,0.0,0.0,jugg walk!,2016-03-11,2016,3
phixel,275,154,2,0.007272727272727273,0.012987012987012988,just let go (demo),2020-01-01,2020,1
xxxtentacion,36,22,0,0.0,0.0,just let go (demo),2020-01-01,2020,1
robotic voice,38,22,0,0.0,0.0,introduction,2018-12-07,2018,12
robotic voice,191,104,0,0.0,0.0,​introduction (bvf)​,2019-12-06,2019,12
xxxtentacion,221,102,0,0.0,0.0,introduction (instructions),2018-03-16,2018,3
shiloh dynasty,123,57,0,0.0,0.0,jocelyn flores,2017-08-25,2017,8
xxxtentacion,199,113,0,0.0,0.0,jocelyn flores,2017-08-25,2017,8
shiloh dynasty,3,2,0,0.0,0.0,katana (freestyle)*,0,0,0
xxxtentacion,32,16,0,0.0,0.0,katana (freestyle)*,0,0,0
xxxtentacion,13,7,0,0.0,0.0,keep flying until i cant,2020-02-14,2020,2
queefius the queef god,84,36,0,0.0,0.0,keep flying until i cant,2020-02-14,2020,2
martin lawrence,31,19,0,0.0,0.0,kick in the door,2014-03-27,2014,3
coolie pak,403,257,0,0.0,0.0,kick in the door,2014-03-27,2014,3
xxxtentacion,292,174,1,0.003424657534246575,0.005747126436781609,kick in the door,2014-03-27,2014,3
xxxtentacion,235,158,8,0.03404255319148936,0.05063291139240506,kill my vibe (solo version),2020-06-12,2020,6
xxxtentacion,107,53,0,0.0,0.0,king,2016-04-25,2016,4
x,344,187,1,0.0029069767441860465,0.0053475935828877,king.of.kings,0,0,0
xxxtentacion,298,164,0,0.0,0.0,king of the dead,2015-10-23,2015,10
xxxtentacion,298,164,0,0.0,0.0,king of the dead (demo),0,0,0
xxxtentacion,5,2,0,0.0,0.0,king of the dead (remix),0,0,0
xxxtentacion,64,36,0,0.0,0.0,king of the living,0,0,0
hivibes,149,79,0,0.0,0.0,king of the living,0,0,0
hivibes,5,4,0,0.0,0.0,la muerte me busca,2019-01-08,2019,1
carc 3lt,469,395,1,0.0021321961620469083,0.002531645569620253,la muerte me busca,2019-01-08,2019,1
phixel,114,78,0,0.0,0.0,left right!,0,0,0
xxxtentacion,153,133,0,0.0,0.0,left right!,0,0,0
xxxtentacion,167,77,0,0.0,0.0,legends never die // save me,2018-07-12,2018,7
sℒen,90,45,0,0.0,0.0,legends never die // save me,2018-07-12,2018,7
xxxtentacion,227,104,0,0.0,0.0,lets pretend we’re numb,2015-12-28,2015,12
xxxtentacion,103,57,0,0.0,0.0,kill me (pain from the jail phone),2016-10-31,2016,10
xxxtentacion,171,131,8,0.04678362573099415,0.061068702290076333,kill my vibe,2019-12-06,2019,12
tom g,216,126,4,0.018518518518518517,0.031746031746031744,kill my vibe,2019-12-06,2019,12
joey bada$$,431,235,0,0.0,0.0,king's dead (freestyle),2018-03-08,2018,3
xxxtentacion,265,170,1,0.0037735849056603774,0.0058823529411764705,king's dead (freestyle),2018-03-08,2018,3
unknown female,16,13,0,0.0,0.0,king's dead (freestyle),2018-03-08,2018,3
xxxtentacion,182,78,0,0.0,0.0,​​​​​​leave,2015-02-03,2015,2
antinonymous (ksl),166,84,0,0.0,0.0,life,0,0,0
xxxtentacion,145,57,0,0.0,0.0,limbo,2019-12-06,2019,12
killstation,208,106,0,0.0,0.0,limbo,2019-12-06,2019,12
xxxtentacion,27,18,0,0.0,0.0,​lips,2015-02-03,2015,2
killstation,2,2,0,0.0,0.0,​lips,2015-02-03,2015,2
smokepurpp,368,234,0,0.0,0.0,live off a lick,2015-10-14,2015,10
xxxtentacion,245,160,0,0.0,0.0,live off a lick,2015-10-14,2015,10
xxxtentacion,3,2,0,0.0,0.0,l@ke$,0,0,0
nyora spouse and xxxtentacion,10,10,0,0.0,0.0,l@ke$,0,0,0
nyora spouse,34,17,0,0.0,0.0,l@ke$,0,0,0
nyora spouse,13,13,0,0.0,0.0,look at me,2018-10-18,2018,10
roboi,269,148,1,0.0037174721189591076,0.006756756756756757,look at me,2018-10-18,2018,10
xxxtentacion's look at me!,370,208,1,0.002702702702702703,0.004807692307692308,look at me,2018-03-11,2018,3
jup,120,76,2,0.016666666666666666,0.02631578947368421,look at me,2018-03-11,2018,3
very smurt,277,153,16,0.05776173285198556,0.10457516339869281,look at meme!,2019-05-03,2019,5
very smurt,5,3,0,0.0,0.0,look at me! (video version),2017-09-12,2017,9
dildo uni,8,4,0,0.0,0.0,look at me! (video version),2017-09-12,2017,9
xxxtentacion,691,372,0,0.0,0.0,look at me! (video version),2017-09-12,2017,9
luke white,5,3,0,0.0,0.0,look at me! (video version),2017-09-12,2017,9
xxxtentacion,177,79,0,0.0,0.0,​looking for a star (cant get you out of my head),2017-05-12,2017,5
xxxtentacion,177,79,0,0.0,0.0,looking for a star (demo 1),0,0,0
xxxtentacion,231,105,0,0.0,0.0,​looking for a star (oshi redo),2017-05-13,2017,5
xxxtentacion,148,58,0,0.0,0.0,lost again (og),2018-11-06,2018,11
justd.c,48,24,0,0.0,0.0,lost again (og),2018-11-06,2018,11
xxxtentacion,98,57,0,0.0,0.0,løst (in memory xxxtentacion),2018-10-18,2018,10
rio santana,342,170,0,0.0,0.0,løst (in memory xxxtentacion),2018-10-18,2018,10
xxxtentacion,106,61,0,0.0,0.0,love (interlude),2015-02-22,2015,2
marilyn manson,58,35,0,0.0,0.0,love (interlude),2015-02-22,2015,2
xxxtentacion,62,32,1,0.016129032258064516,0.03125,​love yourself (interlude) [instrumental],2019-09-06,2019,9
nyora spouse,238,142,0,0.0,0.0,$lumped whip,2014-02-16,2014,2
xxxtentacion,366,212,2,0.00546448087431694,0.009433962264150943,$lumped whip,2014-02-16,2014,2
sully the chief god,117,62,1,0.008547008547008548,0.016129032258064516,$lumped whip,2014-02-16,2014,2
nyora spouse,225,134,0,0.0,0.0,$lumped whip (original version),2014-02-16,2014,2
xxxtentacion,366,212,2,0.00546448087431694,0.009433962264150943,$lumped whip (original version),2014-02-16,2014,2
