food_word,food_word_count,artist,food_word_value,food_word_total,song,release_date,release_year,release_month,food_category_description
rose,1,french montana,1,1,88 coupes,0,0,0,Beverages
bread,2,french montana,1,2,88 coupes,0,0,0,Baked Products
olive,1,french montana,1,1,88 coupes,0,0,0,Fruits and Fruit Juices
oil,1,french montana,1,1,88 coupes,0,0,0,Fats and Oils
homemade,1,french montana,1,1,88 coupes,0,0,0,Cereal Grains and Pasta
cake,1,french montana,1,1,88 coupes,0,0,0,Baked Products
olive oil,1,french montana,-1,-1,88 coupes,0,0,0,Fats and Oils
drinking,1,french montana,1,1,9000 watts,2012-01-01,2012,1,Beverages
ice,1,cheeze,1,1,9000 watts,2012-01-01,2012,1,
sour,1,cheeze,1,1,9000 watts,2012-01-01,2012,1,Fruits and Fruit Juices
pineapple,1,cheeze,1,1,9000 watts,2012-01-01,2012,1,Fruits and Fruit Juices
juice,1,cheeze,1,1,9000 watts,2012-01-01,2012,1,Baby Foods
pineapple juice,1,cheeze,-1,-1,9000 watts,2012-01-01,2012,1,Fruits and Fruit Juices
soda,1,ludacris,1,1,9 times out of 10,2013-05-03,2013,5,Baked Products
banana,1,ludacris,1,1,9 times out of 10,2013-05-03,2013,5,Fruits and Fruit Juices
soda pop,1,ludacris,1,1,9 times out of 10,2013-05-03,2013,5,
chicken,1,french montana,1,1,act like that,2014-01-02,2014,1,Poultry Products
fry,1,french montana,1,1,act like that,2014-01-02,2014,1,
special k,1,french montana,2,2,addiction,2013-04-11,2013,4,
sour,1,french montana,1,1,affirmative action,0,0,0,Fruits and Fruit Juices
cognac,1,french montana,1,1,affirmative action,0,0,0,
apple,1,french montana,1,1,ain't bout to do,0,0,0,Fruits and Fruit Juices
cheerio,1,max b,1,1,a lie,2017-07-14,2017,7,Breakfast Cereals
cereal,1,max b,1,1,a lie,2017-07-14,2017,7,Breakfast Cereals
wine,1,jadakiss,1,1,all about it,2017-11-24,2017,11,Beverages
crab,1,fabolous,1,1,all about it,2017-11-24,2017,11,Finfish and Shellfish Products
wine,1,jadakiss,1,1,all about it (remix),2017-12-05,2017,12,Beverages
crab,1,fabolous,1,1,all about it (remix),2017-12-05,2017,12,Finfish and Shellfish Products
lobster,1,chinx,1,1,all about it (remix),2017-12-05,2017,12,Finfish and Shellfish Products
shrimp,1,chinx,1,1,all about it (remix),2017-12-05,2017,12,Finfish and Shellfish Products
honey,4,lana del rey,1,4,all for you,2013-12-30,2013,12,Sweets
dough,1,french montana,1,1,all for you,2013-12-30,2013,12,
water,1,french montana,1,1,all for you,2013-12-30,2013,12,Beverages
bread,1,wiz khalifa,1,1,all for you,2013-12-30,2013,12,Baked Products
honey,1,lana del rey,1,1,all for you (remix),2014-01-19,2014,1,Sweets
dough,1,french montana,1,1,all for you (remix),2014-01-19,2014,1,
water,1,french montana,1,1,all for you (remix),2014-01-19,2014,1,Beverages
bread,1,wiz khalifa,1,1,all for you (remix),2014-01-19,2014,1,Baked Products
food,1,mgk,1,1,all for you (remix),2014-01-19,2014,1,
drink,2,french montana,1,2,all hustle no luck,2015-05-08,2015,5,
sandwich,1,french montana,1,1,all hustle no luck,2015-05-08,2015,5,Baked Products
champagne,3,french montana,1,3,all hustle no luck,2015-05-08,2015,5,
apple,1,2 pistols,1,1,all i know,0,0,0,Fruits and Fruit Juices
pie,1,2 pistols,1,1,all i know,0,0,0,Baked Products
fish,1,2 pistols,1,1,all i know,0,0,0,Finfish and Shellfish Products
apple crumb,1,2 pistols,1,1,all i know,0,0,0,
macaroni,1,max b,1,1,all i wanna,2009-02-06,2009,2,Cereal Grains and Pasta
cheese,1,max b,1,1,all i wanna,2009-02-06,2009,2,Dairy and Egg Products
sour,1,max b,1,1,all i wanna,2009-02-06,2009,2,Fruits and Fruit Juices
cooking,1,max b,1,1,all i wanna,2009-02-06,2009,2,Beverages
cheese,1,wiz khalifa,1,1,all or nothing,2015-11-04,2015,11,Dairy and Egg Products
stuffing,1,wiz khalifa,1,1,all or nothing,2015-11-04,2015,11,Baked Products
meal,1,wiz khalifa,1,1,all or nothing,2015-11-04,2015,11,Baked Products
iced,1,french montana,1,1,allow,2016-12-02,2016,12,Beverages
cooking,1,nasty c,1,1,allow,2016-12-02,2016,12,Beverages
drinking,2,nasty c,1,2,allow,2016-12-02,2016,12,Beverages
