food_word,food_word_count,artist,food_word_value,food_word_total,song,release_date,release_year,release_month,food_category_description
water,1,notorious b.i.g. faith evans,1,1,1970 somethin',2005-12-20,2005,12,Beverages
cream,1,notorious b.i.g. faith evans,1,1,1970 somethin',2005-12-20,2005,12,Dairy and Egg Products
dough,1,notorious b.i.g. faith evans,1,1,1970 somethin',2005-12-20,2005,12,
lox,1,mase,1,1,been around the world,1997-08-12,1997,8,Finfish and Shellfish Products
honey,1,mase,1,1,been around the world,1997-08-12,1997,8,Sweets
champagne,1,mase,1,1,been around the world,1997-08-12,1997,8,
cream,1,puff daddy,1,1,been around the world,1997-08-12,1997,8,Dairy and Egg Products
cinnamon,1,puff daddy,1,1,been around the world,1997-08-12,1997,8,Baked Products
macaroni,1,puff daddy,1,1,been around the world,1997-08-12,1997,8,Cereal Grains and Pasta
cheese,1,puff daddy,1,1,been around the world,1997-08-12,1997,8,Dairy and Egg Products
drink,1,puff daddy,1,1,been around the world,1997-08-12,1997,8,
water,1,diddy,1,1,been around the world,1997-08-12,1997,8,Beverages
drink,1,too $hort,1,1,big booty hoes,1999-12-07,1999,12,
drink,1,notorious b.i.g.,1,1,big booty hoes,1999-12-07,1999,12,
nut,1,too $hort,1,1,big booty hoes,1999-12-07,1999,12,Nut and Seed Products
nut,2,notorious b.i.g.,1,2,big booty hoes,1999-12-07,1999,12,Nut and Seed Products
food,1,too $hort,1,1,big booty hoes,1999-12-07,1999,12,
cumin,1,notorious b.i.g.,1,1,big booty hoes,1999-12-07,1999,12,
cheese,1,notorious b.i.g.,1,1,big booty hoes,1999-12-07,1999,12,Dairy and Egg Products
barbecue,1,notorious b.i.g.,1,1,big booty hoes,1999-12-07,1999,12,"Soups, Sauces, and Gravies"
gum,1,notorious b.i.g.,1,1,big booty hoes,1999-12-07,1999,12,Sweets
dough,2,scoob,1,2,budweiser superfest freestyle,0,0,0,
biscuit,1,scoob,1,1,budweiser superfest freestyle,0,0,0,Fast Foods
bread,1,the notorious b.i.g.,1,1,budweiser superfest freestyle,0,0,0,Baked Products
