artist,lyrics_word_count,lyrics_word_count_excl_sw,food_words_count,food_words_perc_all_lyric_words,food_words_perc_lyric_words_excl_sw,song,release_date,release_year,release_month
pnb rock,351,185,0,0.0,0.0,lovin',2017-11-17,2017,11
a boogie wit da hoodie,115,54,0,0.0,0.0,lovin',2017-11-17,2017,11
a boogie wit da hoodie,270,117,0,0.0,0.0,luv is art,2020-02-14,2020,2
lil uzi vert,322,147,1,0.003105590062111801,0.006802721088435374,luv is art,2020-02-14,2020,2
a boogie wit da hoodie,487,231,8,0.01642710472279261,0.03463203463203463,macaroni,2016-10-28,2016,10
a boogie wit da hoodie,314,182,3,0.009554140127388535,0.016483516483516484,mac out,0,0,0
don q,11,8,0,0.0,0.0,make me wanna,2019-02-15,2019,2
don q,600,353,1,0.0016666666666666668,0.0028328611898017,make me wanna,2019-02-15,2019,2
a boogie wit da hoodie,172,90,0,0.0,0.0,make me wanna,2019-02-15,2019,2
,58,42,0,0.0,0.0,make me wanna,2019-02-15,2019,2
a boogie wit da hoodie,409,212,1,0.0024449877750611247,0.0047169811320754715,maserati,2019-07-19,2019,7
a boogie wit da hoodie,582,277,1,0.001718213058419244,0.0036101083032490976,memories,2020-06-19,2020,6
a boogie wit da hoodie,8,7,0,0.0,0.0,mia,2018-06-20,2018,6
a boogie wit da hoodie,424,232,1,0.0023584905660377358,0.004310344827586207,mia,2018-06-20,2018,6
kap g,147,79,1,0.006802721088435374,0.012658227848101266,mia,2018-06-20,2018,6
,13,10,0,0.0,0.0,mia,2018-06-20,2018,6
a boogie wit da hoodie,341,211,4,0.011730205278592375,0.018957345971563982,might not give up,2020-02-14,2020,2
young thug,362,222,4,0.011049723756906077,0.018018018018018018,might not give up,2020-02-14,2020,2
a boogie wit da hoodie,629,291,2,0.003179650238473768,0.006872852233676976,money over everything,2016-02-14,2016,2
a boogie wit da hoodie,441,266,2,0.0045351473922902496,0.007518796992481203,money sprung,2017-09-29,2017,9
don q,266,135,2,0.007518796992481203,0.014814814814814815,money sprung,2017-09-29,2017,9
a boogie wit da hoodie,546,250,0,0.0,0.0,me and my guitar,2020-02-14,2020,2
saint jhn,425,236,0,0.0,0.0,monica lewinsky,2019-08-23,2019,8
a boogie wit da hoodie,165,67,0,0.0,0.0,monica lewinsky,2019-08-23,2019,8
a boogie wit da hoodie,278,182,4,0.014388489208633094,0.02197802197802198,mood swings (remix),2019-09-06,2019,9
day1,145,81,0,0.0,0.0,mood swings (remix),2019-09-06,2019,9
creed tha kid,109,64,0,0.0,0.0,mood swings (remix),2019-09-06,2019,9
youngn lipz,137,77,0,0.0,0.0,mood swings (remix),2019-09-06,2019,9
a boogie wit da hoodie,540,291,1,0.001851851851851852,0.003436426116838488,my day one,2017-10-21,2017,10
a boogie,42,24,0,0.0,0.0,my day one,2017-10-21,2017,10
a boogie wit da hoodie,393,177,1,0.002544529262086514,0.005649717514124294,my shit,2016-01-17,2016,1
fabolous,278,132,1,0.0035971223021582736,0.007575757575757576,my shit,2016-07-19,2016,7
a-boogie,282,126,1,0.0035460992907801418,0.007936507936507936,my shit,2016-07-19,2016,7
a boogie,74,34,0,0.0,0.0,my shit,2016-07-19,2016,7
a boogie,3,2,0,0.0,0.0,nana*,0,0,0
a boogie wit da hoodie,146,81,1,0.00684931506849315,0.012345679012345678,nana*,0,0,0
a boogie wit da hoodie,2,2,0,0.0,0.0,need a best friend,2018-12-21,2018,12
a boogie wit da hoodie,279,165,1,0.0035842293906810036,0.006060606060606061,need a best friend,2018-12-21,2018,12
lil quee,166,121,0,0.0,0.0,need a best friend,2018-12-21,2018,12
quando rondo,209,111,1,0.004784688995215311,0.009009009009009009,need a best friend,2018-12-21,2018,12
a boogie wit da hoodie,384,166,2,0.005208333333333333,0.012048192771084338,nonchalant,2018-03-30,2018,3
alkaline,177,107,0,0.0,0.0,nonchalant,2018-03-30,2018,3
a boogie wit da hoodie,244,142,0,0.0,0.0,nonsense,0,0,0
lil uzi vert,448,266,2,0.004464285714285714,0.007518796992481203,nonsense,0,0,0
a boogie wit da hoodie,652,325,1,0.0015337423312883436,0.003076923076923077,no promises,2017-09-29,2017,9
a boogie wit da hoodie,654,325,1,0.0015290519877675841,0.003076923076923077,no promises (trap symphony version),2018-02-28,2018,2
a boogie wit da hoodie,442,429,0,0.0,0.0,no promises (türkçe çeviri),2017-09-29,2017,9
a boogie wit da hoodie,566,278,1,0.0017667844522968198,0.0035971223021582736,not a regular person,2016-05-18,2016,5
a boogie wit da hoodie,380,208,7,0.018421052631578946,0.03365384615384615,odee,2018-03-22,2018,3
deethagemini,455,236,0,0.0,0.0,old games,2019-06-17,2019,6
8th,150,81,0,0.0,0.0,old games,2019-06-17,2019,6
dee,150,81,0,0.0,0.0,old games,2019-06-17,2019,6
the villain,54,27,0,0.0,0.0,old games,2019-06-17,2019,6
villain,50,27,0,0.0,0.0,old games,2019-06-17,2019,6
a boogie wit da hoodie,4,4,0,0.0,0.0,one nighter,2018-03-20,2018,3
yfn lucci,572,276,0,0.0,0.0,one nighter,2018-03-20,2018,3
a boogie wit da hoodie,561,263,0,0.0,0.0,one nighter,2018-03-20,2018,3
conor maynard,276,152,0,0.0,0.0,ooh girl,2019-08-30,2019,8
a boogie wit da hoodie,104,51,0,0.0,0.0,ooh girl,2019-08-30,2019,8
a boogie wit da hoodie,391,253,9,0.023017902813299233,0.03557312252964427,mood swings,2019-09-13,2019,9
a boogie wit da hoodie,531,206,1,0.0018832391713747645,0.0048543689320388345,nice for what (remix),2018-07-01,2018,7
big freedia,60,34,0,0.0,0.0,nice for what (remix),2018-07-01,2018,7
lauryn hill,137,43,0,0.0,0.0,nice for what (remix),2018-07-01,2018,7
,170,64,0,0.0,0.0,nice for what (remix),2018-07-01,2018,7
drake,228,98,0,0.0,0.0,nice for what (remix),2018-07-01,2018,7
letitia wright,46,26,0,0.0,0.0,nice for what (remix),2018-07-01,2018,7
a boogie wit da hoodie,6,4,0,0.0,0.0,numbers,2020-02-14,2020,2
a boogie wit da hoodie,515,280,3,0.005825242718446602,0.010714285714285714,numbers,2020-02-14,2020,2
roddy ricch,284,155,0,0.0,0.0,numbers,2020-02-14,2020,2
gunna,211,102,3,0.014218009478672985,0.029411764705882353,numbers,2020-02-14,2020,2
a boogie wit da hoodie,213,111,1,0.004694835680751174,0.009009009009009009,other shit,2016-05-18,2016,5
don q,560,266,1,0.0017857142857142857,0.0037593984962406013,other shit,2016-05-18,2016,5
a boogie wit da hoodie,3,2,0,0.0,0.0,outta the trenches*,0,0,0
dave east,29,14,0,0.0,0.0,outta the trenches*,0,0,0
dave east,100,66,0,0.0,0.0,outta the trenches*,0,0,0
a boogie wit da hoodie,225,130,1,0.0044444444444444444,0.007692307692307693,party,2019-09-26,2019,9
paulo londra,302,250,2,0.006622516556291391,0.008,party,2019-09-26,2019,9
a boogie wit da hoodie,61,35,0,0.0,0.0,perfect,2019-08-21,2019,8
lil skittles,74,37,0,0.0,0.0,perfect,2019-08-21,2019,8
lil skittles,3,2,0,0.0,0.0,perfect*,0,0,0
a boogie wit da hoodie,33,15,0,0.0,0.0,perfect*,0,0,0
a boogie wit da hoodie,128,60,0,0.0,0.0,playa no more,2016-12-01,2016,12
pnb rock,406,166,0,0.0,0.0,playa no more,2016-12-01,2016,12
quavo,110,64,0,0.0,0.0,playa no more,2016-12-01,2016,12
a boogie wit da hoodie,389,203,0,0.0,0.0,play me now (freestyle),2018-03-29,2018,3
a boogie wit da hoodie,159,101,1,0.006289308176100629,0.009900990099009901,point em out,2020-03-20,2020,3
phresher,398,249,0,0.0,0.0,point em out,2020-03-20,2020,3
a boogie wit da hoodie,181,105,0,0.0,0.0,pretending,2018-06-20,2018,6
jessie reyez,162,93,6,0.037037037037037035,0.06451612903225806,pretending,2018-06-20,2018,6
,108,62,4,0.037037037037037035,0.06451612903225806,pretending,2018-06-20,2018,6
a boogie wit da hoodie,396,172,0,0.0,0.0,problem,0,0,0
tee grizzley,166,82,4,0.024096385542168676,0.04878048780487805,problem,0,0,0
don q,185,82,0,0.0,0.0,problem,0,0,0
fabolous,153,92,0,0.0,0.0,problem,0,0,0
don q,325,171,0,0.0,0.0,protect ur patek,2017-08-11,2017,8
a boogie wit da hoodie,244,111,0,0.0,0.0,protect ur patek,2017-08-11,2017,8
rowdy rebel,29,15,0,0.0,0.0,protect ur patek,2017-08-11,2017,8
a boogie wit da hoodie,483,166,0,0.0,0.0,proud of me now,2016-12-02,2016,12
