food_word,food_word_count,artist,food_word_value,food_word_total,song,release_date,release_year,release_month,food_category_description
beef,3,quavo,1,3,1 night,2018-11-09,2018,11,Beef Products
beef,3,tee grizzley,1,3,1 night,2018-11-09,2018,11,Beef Products
vegan,6,quavo,1,6,1 night,2018-11-09,2018,11,
vegan,6,tee grizzley,1,6,1 night,2018-11-09,2018,11,
ice,1,quavo,1,1,1 night,2018-11-09,2018,11,
ice,1,tee grizzley,1,1,1 night,2018-11-09,2018,11,
orange,1,quavo,1,1,2 many bitches,2015-10-22,2015,10,Fruits and Fruit Juices
cake,1,skippa da flippa,1,1,2 many bitches,2015-10-22,2015,10,Baked Products
moscato,1,skippa da flippa,1,1,2 many bitches,2015-10-22,2015,10,
drinking,1,skippa da flippa,1,1,2 many bitches,2015-10-22,2015,10,Beverages
fruity,1,yrn lingo,1,1,acting up (fuck it up),2017-08-06,2017,8,
cookie,2,quavo,1,2,acting up (fuck it up),2017-08-06,2017,8,Baked Products
mm,1,peewee longway,1,1,addicted to gangsta,2015-10-22,2015,10,
chicken,1,hoodrich pablo juan,1,1,addicted to gangsta,2015-10-22,2015,10,Poultry Products
soy,2,karol g,1,2,ahora me llama (remix),2017-10-06,2017,10,Baby Foods
cheese,1,quavo,1,1,aight,2014-03-19,2014,3,Dairy and Egg Products
nut,1,pop smoke,1,1,aim for the moon,0,0,0,Nut and Seed Products
nut,1,quavo,1,1,aim for the moon,0,0,0,Nut and Seed Products
drinking,1,sean kingston,1,1,all i got (remix),2016-05-09,2016,5,Beverages
vodka,2,sean kingston,1,2,all i got (remix),2016-05-09,2016,5,Beverages
nacho,1,quavo,1,1,all i got (remix),2016-05-09,2016,5,Fast Foods
coco,1,quavo,1,1,all i got (remix),2016-05-09,2016,5,
cookie,1,migo domingo,1,1,all week,2016-04-25,2016,4,Baked Products
drinking,4,migo jerz,1,4,all week,2016-04-25,2016,4,Beverages
drinking,1,quavo,1,1,all week,2016-04-25,2016,4,Beverages
ice,1,quavo,1,1,all week,2016-04-25,2016,4,
banana,1,migo jerz,1,1,all week,2016-04-25,2016,4,Fruits and Fruit Juices
mango,1,migo jerz,1,1,all week,2016-04-25,2016,4,Fruits and Fruit Juices
ice,1,bluff city,1,1,all you need,2019-11-08,2019,11,
ice cube,1,bluff city,1,1,all you need,2019-11-08,2019,11,
ice,1,quavo,1,1,aries (yugo) part 2 (demo),2018-01-21,2018,1,
ice,1,big sean,1,1,aries (yugo) part 2 (demo),2018-01-21,2018,1,
sauce,1,slim jxmmi,1,1,aries (yugo) part 2 (demo),2018-01-21,2018,1,"Soups, Sauces, and Gravies"
ice,1,quavo,1,1,"aries (yugo), pt. 2",2018-03-29,2018,3,
ice,1,big sean,1,1,"aries (yugo), pt. 2",2018-03-29,2018,3,
sauce,1,slim jxmmi,1,1,"aries (yugo), pt. 2",2018-03-29,2018,3,"Soups, Sauces, and Gravies"
taro,1,gradur,1,1,atlanta,2019-11-29,2019,11,Vegetables and Vegetable Products
tropicana,1,chaz gotti,1,1,babies crying,2013-12-27,2013,12,
pepper,1,chaz gotti,1,1,babies crying,2013-12-27,2013,12,Vegetables and Vegetable Products
banana,1,chaz gotti,1,1,babies crying,2013-12-27,2013,12,Fruits and Fruit Juices
iced,1,yella beezy,1,1,bacc at it again,2019-03-15,2019,3,Beverages
creamer,1,yella beezy,1,1,bacc at it again,2019-03-15,2019,3,
ice,2,quavo,1,2,bacc at it again,2019-03-15,2019,3,
oil,2,gucci mane,1,2,bacc at it again,2019-03-15,2019,3,Fats and Oils
raisin,1,,1,1,bad enough,2017-01-29,2017,1,Baked Products
food,1,quavo,1,1,baile (dance),2018-06-26,2018,6,
food,1,evander griiim,1,1,baile (dance),2018-06-26,2018,6,
ice,3,quavo,1,3,baile (dance),2018-06-26,2018,6,
ice,3,evander griiim,1,3,baile (dance),2018-06-26,2018,6,
chiquita,3,evander griiim,1,3,baile (dance),2018-06-26,2018,6,
fast food,1,quavo,1,1,baile (dance),2018-06-26,2018,6,Fast Foods
fast food,1,evander griiim,1,1,baile (dance),2018-06-26,2018,6,Fast Foods
fish,1,hoodrich pablo juan,1,1,bando to mansion,2015-10-22,2015,10,Finfish and Shellfish Products
water,1,hoodrich pablo juan,1,1,bando to mansion,2015-10-22,2015,10,Beverages
