food_word,food_word_count,artist,food_word_value,food_word_total,song,release_date,release_year,release_month,food_category_description
lemon,1,lil uzi vert,1,1,luv is art,2020-02-14,2020,2,Beverages
macaroni,7,a boogie wit da hoodie,1,7,macaroni,2016-10-28,2016,10,Cereal Grains and Pasta
rose,1,a boogie wit da hoodie,1,1,macaroni,2016-10-28,2016,10,Beverages
lamb,2,a boogie wit da hoodie,1,2,mac out,0,0,0,"Lamb, Veal, and Game Products"
mm,1,a boogie wit da hoodie,1,1,mac out,0,0,0,
ice,1,don q,1,1,make me wanna,2019-02-15,2019,2,
ice,1,a boogie wit da hoodie,1,1,maserati,2019-07-19,2019,7,
bean,1,a boogie wit da hoodie,1,1,memories,2020-06-19,2020,6,Legumes and Legume Products
bean,1,a boogie wit da hoodie,1,1,mia,2018-06-20,2018,6,Legumes and Legume Products
ice,1,kap g,1,1,mia,2018-06-20,2018,6,
juice,3,a boogie wit da hoodie,1,3,might not give up,2020-02-14,2020,2,Baby Foods
juice,1,young thug,1,1,might not give up,2020-02-14,2020,2,Baby Foods
iced,1,a boogie wit da hoodie,1,1,might not give up,2020-02-14,2020,2,Beverages
pie,1,young thug,1,1,might not give up,2020-02-14,2020,2,Baked Products
peanut,2,young thug,1,2,might not give up,2020-02-14,2020,2,Legumes and Legume Products
butter,2,young thug,1,2,might not give up,2020-02-14,2020,2,Dairy and Egg Products
peanut butter,2,young thug,-1,-2,might not give up,2020-02-14,2020,2,Legumes and Legume Products
curry,1,a boogie wit da hoodie,1,1,money over everything,2016-02-14,2016,2,
bread,1,a boogie wit da hoodie,1,1,money over everything,2016-02-14,2016,2,Baked Products
gum,1,a boogie wit da hoodie,1,1,money sprung,2017-09-29,2017,9,Sweets
drinking,1,don q,1,1,money sprung,2017-09-29,2017,9,Beverages
banana,1,don q,1,1,money sprung,2017-09-29,2017,9,Fruits and Fruit Juices
bubble gum,1,a boogie wit da hoodie,1,1,money sprung,2017-09-29,2017,9,
goat,1,a boogie wit da hoodie,1,1,mood swings (remix),2019-09-06,2019,9,Dairy and Egg Products
mm,3,a boogie wit da hoodie,1,3,mood swings (remix),2019-09-06,2019,9,
cheddar,1,a boogie wit da hoodie,1,1,my day one,2017-10-21,2017,10,Dairy and Egg Products
water,1,a boogie wit da hoodie,1,1,my shit,2016-01-17,2016,1,Beverages
rose,1,fabolous,1,1,my shit,2016-07-19,2016,7,Beverages
water,1,a-boogie,1,1,my shit,2016-07-19,2016,7,Beverages
rose,1,a boogie wit da hoodie,1,1,nana*,0,0,0,Beverages
meat,1,a boogie wit da hoodie,1,1,need a best friend,2018-12-21,2018,12,Baby Foods
sauce,1,quando rondo,1,1,need a best friend,2018-12-21,2018,12,"Soups, Sauces, and Gravies"
food,1,a boogie wit da hoodie,1,1,nonchalant,2018-03-30,2018,3,
rose,1,a boogie wit da hoodie,1,1,nonchalant,2018-03-30,2018,3,Beverages
ostrich,1,lil uzi vert,1,1,nonsense,0,0,0,Poultry Products
lamb,1,lil uzi vert,1,1,nonsense,0,0,0,"Lamb, Veal, and Game Products"
sauce,1,a boogie wit da hoodie,1,1,no promises,2017-09-29,2017,9,"Soups, Sauces, and Gravies"
sauce,1,a boogie wit da hoodie,1,1,no promises (trap symphony version),2018-02-28,2018,2,"Soups, Sauces, and Gravies"
bread,1,a boogie wit da hoodie,1,1,not a regular person,2016-05-18,2016,5,Baked Products
melon,3,a boogie wit da hoodie,1,3,odee,2018-03-22,2018,3,Fruits and Fruit Juices
bean,3,a boogie wit da hoodie,1,3,odee,2018-03-22,2018,3,Legumes and Legume Products
lemon,1,a boogie wit da hoodie,1,1,odee,2018-03-22,2018,3,Beverages
goat,3,a boogie wit da hoodie,1,3,mood swings,2019-09-13,2019,9,Dairy and Egg Products
mm,6,a boogie wit da hoodie,1,6,mood swings,2019-09-13,2019,9,
cheese,1,a boogie wit da hoodie,1,1,nice for what (remix),2018-07-01,2018,7,Dairy and Egg Products
pie,1,a boogie wit da hoodie,1,1,numbers,2020-02-14,2020,2,Baked Products
pie,1,gunna,1,1,numbers,2020-02-14,2020,2,Baked Products
cayenne,2,a boogie wit da hoodie,1,2,numbers,2020-02-14,2020,2,
cayenne,2,gunna,1,2,numbers,2020-02-14,2020,2,
sour,1,a boogie wit da hoodie,1,1,other shit,2016-05-18,2016,5,Fruits and Fruit Juices
soda,1,don q,1,1,other shit,2016-05-18,2016,5,Baked Products
bean,1,a boogie wit da hoodie,1,1,party,2019-09-26,2019,9,Legumes and Legume Products
ahi,2,paulo londra,1,2,party,2019-09-26,2019,9,
ice,1,a boogie wit da hoodie,1,1,point em out,2020-03-20,2020,3,
drinking,6,jessie reyez,1,6,pretending,2018-06-20,2018,6,Beverages
drinking,4,,1,4,pretending,2018-06-20,2018,6,Beverages
ice,1,tee grizzley,1,1,problem,0,0,0,
goat,3,tee grizzley,1,3,problem,0,0,0,Dairy and Egg Products
bread,1,a boogie wit da hoodie,1,1,pull up,2018-06-20,2018,6,Baked Products
onion,1,a boogie wit da hoodie,1,1,quiet storm freestyle,2016-12-13,2016,12,Vegetables and Vegetable Products
bread,2,a boogie wit da hoodie,1,2,quiet storm freestyle,2016-12-13,2016,12,Baked Products
ham,1,a boogie wit da hoodie,1,1,quiet storm freestyle,2016-12-13,2016,12,Pork Products
mozzarella,1,a boogie wit da hoodie,1,1,quiet storm freestyle,2016-12-13,2016,12,Dairy and Egg Products
cheddar,1,a boogie wit da hoodie,1,1,quiet storm freestyle,2016-12-13,2016,12,Dairy and Egg Products
beer,1,a boogie wit da hoodie,1,1,quiet storm freestyle,2016-12-13,2016,12,Beverages
water,1,a boogie wit da hoodie,1,1,quiet storm freestyle,2016-12-13,2016,12,Beverages
juice,1,a boogie wit da hoodie,1,1,quiet storm freestyle,2016-12-13,2016,12,Baby Foods
water,1,a boogie wit da hoodie,1,1,rambo (freestyle),2016-08-12,2016,8,Beverages
chicken,1,a boogie wit da hoodie,1,1,rambo (freestyle),2016-08-12,2016,8,Poultry Products
ice,2,olexesh,1,2,ouh mädchen,2019-08-09,2019,8,
water,2,olexesh,1,2,ouh mädchen,2019-08-09,2019,8,Beverages
water,2,a boogie wit da hoodie,1,2,ouh mädchen,2019-08-09,2019,8,Beverages
drink,1,a boogie wit da hoodie,1,1,ransom,2016-10-28,2016,10,
drink,1,a boogie wit da hoodie,1,1,right moves,2018-03-19,2018,3,
gatorade,1,a boogie wit da hoodie,1,1,right moves,2018-03-19,2018,3,Beverages
goat,1,a boogie wit da hoodie,1,1,right moves,2018-03-19,2018,3,Dairy and Egg Products
water,1,ra thottie,1,1,rockstar rap shit,0,0,0,Beverages
water,1,ra thottie,1,1,rockstar rap sh*t,2018-03-25,2018,3,Beverages
toaster,1,don q,1,1,role model,2018-09-22,2018,9,
cracker,1,don q,1,1,role model,2018-09-22,2018,9,Baked Products
bean,1,don q,1,1,role model,2018-09-22,2018,9,Legumes and Legume Products
bread,1,a boogie wit a hoodie,1,1,role model,2018-09-22,2018,9,Baked Products
beef,1,lil bibby,1,1,run it up,0,0,0,Beef Products
fry,1,d-lo116,1,1,scarred from luv,2019-12-06,2019,12,
scallop,1,lil uzi vert,1,1,reply,2019-11-15,2019,11,Finfish and Shellfish Products
clam,1,lil uzi vert,1,1,reply,2019-11-15,2019,11,Finfish and Shellfish Products
chowder,1,lil uzi vert,1,1,reply,2019-11-15,2019,11,
clam chowder,1,lil uzi vert,-1,-1,reply,2019-11-15,2019,11,"Soups, Sauces, and Gravies"
ice,4,young thug,1,4,showed you,2018-03-30,2018,3,
mm,4,young thug,1,4,showed you,2018-03-30,2018,3,
mm,1,dej loaf,1,1,showed you,2018-03-30,2018,3,
water,1,a boogie wit da hoodie,1,1,side nigga,2016-06-24,2016,6,Beverages
water,3,a boogie wit da hoodie,1,3,skeezers,2018-12-21,2018,12,Beverages
ice,1,a boogie wit da hoodie,1,1,skeezers,2018-12-21,2018,12,
sesame,1,max b,1,1,so cold,2019-08-23,2019,8,Baked Products
milk,1,max b,1,1,so cold,2019-08-23,2019,8,Dairy and Egg Products
drink,1,max b,1,1,so cold,2019-08-23,2019,8,
flavor,1,a boogie wit da hoodie,1,1,so cold,2019-08-23,2019,8,
iced,1,a boogie wit da hoodie,1,1,so cold,2019-08-23,2019,8,Beverages
mountain dew,1,max b,2,2,so cold,2019-08-23,2019,8,
mustard,1,a boogie wit da hoodie,1,1,somebody,2017-09-29,2017,9,Spices and Herbs
ice,1,don q,1,1,somebody,2017-09-29,2017,9,
cranberry,1,don q,1,1,somebody,2017-09-29,2017,9,Legumes and Legume Products
bread,1,a boogie wit da hoodie,1,1,spongebob,0,0,0,Baked Products
baguette,2,offset,1,2,startender,2018-12-14,2018,12,
cocoa,1,offset,1,1,startender,2018-12-14,2018,12,Sweets
capri sun,1,a boogie wit da hoodie,2,2,stack it up,2019-09-18,2019,9,
tasty,1,berner,1,1,still alive,2019-05-05,2019,5,
cereal,1,berner,1,1,still alive,2019-05-05,2019,5,Breakfast Cereals
milk,1,berner,1,1,still alive,2019-05-05,2019,5,Dairy and Egg Products
bread,1,g-eazy,1,1,still alive,2019-05-05,2019,5,Baked Products
cereal milk,1,berner,-1,-1,still alive,2019-05-05,2019,5,
baguette,1,a boogie wit da hoodie,1,1,stretch you out,2019-09-24,2019,9,
takis,1,a boogie wit da hoodie,1,1,talk about it,2020-06-19,2020,6,
bread,1,a boogie wit da hoodie,1,1,temporary,0,0,0,Baked Products
toaster,1,a boogie wit da hoodie,1,1,temporary,0,0,0,
moscato,1,a boogie wit da hoodie,1,1,temporary,0,0,0,
water,1,a boogie wit da hoodie,1,1,text,2020-06-02,2020,6,Beverages
water,2,lil syphon,1,2,text,2020-06-02,2020,6,Beverages
ice,1,lil syphon,1,1,text,2020-06-02,2020,6,
bean,1,lil syphon,1,1,text,2020-06-02,2020,6,Legumes and Legume Products
jelly,1,juelz santana,1,1,the get back,2017-06-01,2017,6,Sweets
rose,1,juelz santana,1,1,the get back,2017-06-01,2017,6,Beverages
broccoli,1,juelz santana,1,1,the get back,2017-06-01,2017,6,Vegetables and Vegetable Products
drink,1,don q,1,1,they don't wanna see,2016-05-18,2016,5,
juice,2,a boogie wit da hoodie,1,2,till the wheels fall off,2020-06-19,2020,6,Baby Foods
beef,1,a boogie wit da hoodie,1,1,till the wheels fall off,2020-06-19,2020,6,Beef Products
sunny d,2,a boogie wit da hoodie,2,4,till the wheels fall off,2020-06-19,2020,6,
mm,1,a boogie wit da hoodie,1,1,timeless,2016-10-05,2016,10,
sour,1,a boogie wit da hoodie,1,1,timeless,2016-10-05,2016,10,Fruits and Fruit Juices
butter,1,a boogie wit da hoodie,1,1,timeless,2016-10-05,2016,10,Dairy and Egg Products
drinking,1,a boogie wit da hoodie,1,1,timeless,2016-10-05,2016,10,Beverages
baguette,2,a boogie wit da hoodie,1,2,swervin,2018-12-21,2018,12,
baguette,1,skooly,1,1,swervin,2018-12-21,2018,12,
baguette,2,a boogie wit da hoodie,1,2,swervin (remix),2019-07-26,2019,7,
baguette,1,skooly,1,1,swervin (remix),2019-07-26,2019,7,
bourbon,1,veysel,1,1,swervin (remix),2019-07-26,2019,7,
vegetable,1,a boogie wit da hoodie,1,1,thug love,2020-02-14,2020,2,Baby Foods
cheese,1,a boogie wit da hoodie,1,1,thug love,2020-02-14,2020,2,Dairy and Egg Products
rose,3,roddy ricch,1,3,tip toe,2019-11-25,2019,11,Beverages
skittle,3,roddy ricch,1,3,tip toe,2019-11-25,2019,11,
cooking,1,a boogie wit da hoodie,1,1,trap house,2016-02-14,2016,2,Beverages
cheddar,1,a boogie wit da hoodie,1,1,trap house,2016-02-14,2016,2,Dairy and Egg Products
sauce,1,j alvarez,1,1,tricks,2019-04-19,2019,4,"Soups, Sauces, and Gravies"
sauce,1,boogie wit da hoodie,1,1,tricks,2019-04-19,2019,4,"Soups, Sauces, and Gravies"
ragu,1,j alvarez,1,1,tricks,2019-04-19,2019,4,
ragu,1,boogie wit da hoodie,1,1,tricks,2019-04-19,2019,4,
soy,1,j alvarez,1,1,tricks,2019-04-19,2019,4,Baby Foods
beef,1,a boogie wit da hoodie,1,1,understand,0,0,0,Beef Products
chicken,1,a boogie wit da hoodie,1,1,understand,0,0,0,Poultry Products
bacon,1,a boogie wit da hoodie,1,1,understand,0,0,0,Pork Products
goat,1,a boogie wit da hoodie,1,1,unhappy,2017-09-29,2017,9,Dairy and Egg Products
water,1,a boogie wit da hoodie,1,1,unhappy,2017-09-29,2017,9,Beverages
stuffing,1,a boogie wit da hoodie,1,1,unhappy,2017-09-29,2017,9,Baked Products
water,7,lil durk,1,7,u said,2019-08-02,2019,8,Beverages
goat,1,a boogie wit da hoodie,1,1,u said,2019-08-02,2019,8,Dairy and Egg Products
beef,1,a boogie wit da hoodie,1,1,waka,2018-11-27,2018,11,Beef Products
burger,1,a boogie wit da hoodie,1,1,waka,2018-11-27,2018,11,
banana,1,a boogie wit da hoodie,1,1,waka,2018-11-27,2018,11,Fruits and Fruit Juices
lamb,1,a boogie wit da hoodie,1,1,waka,2018-11-27,2018,11,"Lamb, Veal, and Game Products"
juice,1,a boogie wit da hoodie,1,1,way too fly,2018-05-23,2018,5,Baby Foods
mm,4,a boogie wit da hoodie,1,4,weak days,2018-05-26,2018,5,
cream,1,a boogie wit da hoodie,1,1,wild thots,2017-07-10,2017,7,Dairy and Egg Products
shrimp,1,don q,1,1,with you,2017-10-31,2017,10,Finfish and Shellfish Products
lobster,1,don q,1,1,with you,2017-10-31,2017,10,Finfish and Shellfish Products
restaurant,1,don q,1,1,with you,2017-10-31,2017,10,Restaurant Foods
homemade,1,don q,1,1,with you,2017-10-31,2017,10,Cereal Grains and Pasta
wine,1,don q,1,1,with you,2017-10-31,2017,10,Beverages
rose,2,a boogie wit da hoodie,1,2,wolf,2020-01-03,2020,1,Beverages
vegetable,1,a boogie wit da hoodie,1,1,wolf,2020-01-03,2020,1,Baby Foods
snail,1,a boogie wit da hoodie,1,1,word to,2016-10-13,2016,10,Finfish and Shellfish Products
lobster,1,a boogie wit da hoodie,1,1,word to,2016-10-13,2016,10,Finfish and Shellfish Products
pizzeria,1,king ceazar,1,1,word to,2016-10-13,2016,10,
nut,1,a boogie wit da hoodie,1,1,work (remix),2016-02-15,2016,2,Nut and Seed Products
dough,2,a boogie wit da hoodie,1,2,wrong nigga,2016-10-28,2016,10,
drink,2,a boogie wit da hoodie,1,2,wrong nigga,2016-10-28,2016,10,
