artist,lyrics_word_count,lyrics_word_count_excl_sw,food_words_count,food_words_perc_all_lyric_words,food_words_perc_lyric_words_excl_sw,song,release_date,release_year,release_month
kelis,219,119,0,0.0,0.0,22nd century,2010-05-14,2010,5
kelis,481,244,0,0.0,0.0,4th of july,0,0,0
kelis,481,244,0,0.0,0.0,4th of july (fireworks),2010-06-08,2010,6
kelis,187,81,0,0.0,0.0,80's joint,0,0,0
kelis,333,173,0,0.0,0.0,acapella,2010-02-23,2010,2
kelis,292,144,0,0.0,0.0,appreciate me,0,0,0
kelis,244,109,0,0.0,0.0,attention,2003-12-05,2003,12
kelis,507,314,4,0.007889546351084813,0.012738853503184714,aww shit!,0,0,0
kelis,236,113,0,0.0,0.0,back and forth,2015-06-15,2015,6
kelis,274,152,1,0.0036496350364963502,0.006578947368421052,biscuits n' gravy,2014-04-17,2014,4
kelis,162,73,0,0.0,0.0,bless the telephone,2014-04-17,2014,4
kelis,160,77,0,0.0,0.0,bounce,2011-06-10,2011,6
kelis,4,4,0,0.0,0.0,bounce (extended mix),0,0,0
calvin harris,163,78,0,0.0,0.0,bounce (extended mix),0,0,0
calvin harris,167,82,0,0.0,0.0,bounce (fly eye club remix),0,0,0
calvin harris,167,82,0,0.0,0.0,bounce (michael woods remix),0,0,0
calvin harris,167,82,0,0.0,0.0,bounce (oh-key! radio mix),0,0,0
calvin harris,167,82,0,0.0,0.0,bounce (r3hab remix),0,0,0
calvin harris,167,82,0,0.0,0.0,bounce (sandro silva remix),0,0,0
calvin harris,23,16,0,0.0,0.0,brass in pocket,2005-09-13,2005,9
kelis,193,120,0,0.0,0.0,brass in pocket,2005-09-13,2005,9
kelis,359,181,0,0.0,0.0,brave,2011-01-06,2011,1
knight jones,9,6,0,0.0,0.0,breakfast,2014-04-18,2014,4
kelis and knight jones,45,45,0,0.0,0.0,breakfast,2014-04-18,2014,4
kelis,344,158,6,0.01744186046511628,0.0379746835443038,breakfast,2014-04-18,2014,4
kelis and knight jones,9,6,0,0.0,0.0,"breakfast - live from the mckittrick hotel, home of sleep no more",0,0,0
kelis,311,145,4,0.012861736334405145,0.027586206896551724,"breakfast - live from the mckittrick hotel, home of sleep no more",0,0,0
kelis,152,75,0,0.0,0.0,change,2014-04-17,2014,4
kelis,486,258,1,0.00205761316872428,0.003875968992248062,circus,0,0,0
kelis,249,138,0,0.0,0.0,cobbler,2014-04-17,2014,4
lfo,425,185,0,0.0,0.0,dandelion,2001-06-26,2001,6
kelis,152,63,0,0.0,0.0,dandelion,2001-06-26,2001,6
sage the gemini,375,171,0,0.0,0.0,do it like me (icy feet),2017-03-17,2017,3
kelis,308,149,0,0.0,0.0,do it like me (icy feet),2017-03-17,2017,3
kelis,132,81,0,0.0,0.0,dreamer,2014-04-17,2014,4
kelis,200,98,0,0.0,0.0,emancipate,2010-05-14,2010,5
louane,188,182,0,0.0,0.0,en vie,2015-03-02,2015,3
gravediggaz,843,450,6,0.0071174377224199285,0.013333333333333334,fairytalez,1997-10-14,1997,10
kelis,82,46,0,0.0,0.0,farewell,2017-05-15,2017,5
dan black,82,46,0,0.0,0.0,farewell,2017-05-15,2017,5
dan black,34,25,0,0.0,0.0,farewell,2017-05-15,2017,5
richard x,380,196,0,0.0,0.0,finest dreams,0,0,0
richard x,31,19,0,0.0,0.0,fire,2006-08-22,2006,8
kelis,427,226,1,0.00234192037470726,0.004424778761061947,fire,2006-08-22,2006,8
kelis,224,123,0,0.0,0.0,floyd,2014-04-17,2014,4
kelis,256,126,0,0.0,0.0,forever be,2014-04-17,2014,4
kelis,572,291,14,0.024475524475524476,0.048109965635738834,friday fish fry,2014-04-17,2014,4
kelis,646,313,2,0.0030959752321981426,0.006389776357827476,fuck them bitches,2006-08-22,2006,8
alex clare,175,88,0,0.0,0.0,give it all,2013-08-12,2013,8
kelis,33,16,1,0.030303030303030304,0.0625,give it all,2013-08-12,2013,8
don diablo,257,129,0,0.0,0.0,give it all,2013-08-12,2013,8
alex clare,94,52,0,0.0,0.0,give it all (don diablo & cid remix),2013-08-12,2013,8
don diablo,88,48,0,0.0,0.0,give it all (don diablo & cid remix),2013-08-12,2013,8
cid,48,36,0,0.0,0.0,give it all (don diablo & cid remix),2013-08-12,2013,8
don diablo,48,36,0,0.0,0.0,give it all (don diablo & cid remix),2013-08-12,2013,8
kelis,35,19,0,0.0,0.0,give it all (don diablo & cid remix),2013-08-12,2013,8
alex clare,194,154,0,0.0,0.0,give it all (vip mix),2013-08-12,2013,8
don diablo,185,83,0,0.0,0.0,give it all (vip mix),2013-08-12,2013,8
kelis,15,6,0,0.0,0.0,give it all (vip mix),2013-08-12,2013,8
don diablo,51,25,0,0.0,0.0,glow,2003-12-05,2003,12
kelis,212,110,0,0.0,0.0,glow,2003-12-05,2003,12
kelis,333,196,0,0.0,0.0,goodbyes,2006-08-22,2006,8
kelis,289,129,0,0.0,0.0,good stuff (junior vasquez remix) (feat. terrar),0,0,0
kelis,346,227,3,0.008670520231213872,0.013215859030837005,handful,0,0,0
kelis,274,119,0,0.0,0.0,have a nice day,0,0,0
dan black,45,28,0,0.0,0.0,hearts,0,0,0
kelis,43,26,0,0.0,0.0,hearts,0,0,0
,34,22,0,0.0,0.0,hearts,0,0,0
,30,13,0,0.0,0.0,help me,2002-03-04,2002,3
timo maas,90,35,0,0.0,0.0,help me,2002-03-04,2002,3
kelis,165,101,0,0.0,0.0,home,2010-05-14,2010,5
kelis,18,10,0,0.0,0.0,"honey (fafu's 12"" mix)",0,0,0
kelis,124,59,2,0.016129032258064516,0.03389830508474576,hooch,2014-04-17,2014,4
kelis,14,14,0,0.0,0.0,how you want that (dj remix),0,0,0
loon,555,309,5,0.009009009009009009,0.016181229773462782,how you want that (dj remix),0,0,0
loon,78,26,0,0.0,0.0,i don't think so,0,0,0
kelis,302,104,0,0.0,0.0,i don't think so,0,0,0
outsidaz,440,235,1,0.0022727272727272726,0.00425531914893617,i'm leavin',2001-05-22,2001,5
kelis,96,58,0,0.0,0.0,i'm leavin',2001-05-22,2001,5
kelis,418,163,0,0.0,0.0,jerk ribs,2014-04-17,2014,4
tv on the radio,315,184,0,0.0,0.0,lazerray,2014-11-18,2014,11
tv on the radio,3,2,0,0.0,0.0,like you,0,0,0
kelis,104,51,0,0.0,0.0,like you,0,0,0
,388,162,0,0.0,0.0,lil star,0,0,0
,31,15,0,0.0,0.0,living proof,0,0,0
kelis,293,125,0,0.0,0.0,living proof,0,0,0
kelis,282,140,0,0.0,0.0,marathon,2003-12-05,2003,12
kelis,3,3,0,0.0,0.0,milkshake 2,0,0,0
kelis,452,230,8,0.017699115044247787,0.034782608695652174,milkshake (just blaze instrumental),0,0,0
kelis,452,230,8,0.017699115044247787,0.034782608695652174,milkshake (just blaze remix),0,0,0
kelis,452,230,8,0.017699115044247787,0.034782608695652174,"milkshake (majestic 12"" remix)",0,0,0
kelis,461,235,16,0.03470715835140998,0.06808510638297872,milkshake (radio edit),0,0,0
kelis,10,8,0,0.0,0.0,no security,2010-03-08,2010,3
crookers,380,169,1,0.002631578947368421,0.005917159763313609,no security,2010-03-08,2010,3
enrique iglesias and kelis,219,111,0,0.0,0.0,not in love (radio mix),2004-02-07,2004,2
enrique iglesias,94,49,0,0.0,0.0,not in love (radio mix),2004-02-07,2004,2
kelis and enrique iglesias,37,12,0,0.0,0.0,not in love (radio mix),2004-02-07,2004,2
"kelis as ""the continent""",69,36,0,0.0,0.0,oceania (remix),2004-10-18,2004,10
bjork and kelis,70,28,1,0.014285714285714285,0.03571428571428571,oceania (remix),2004-10-18,2004,10
,26,4,0,0.0,0.0,oceania (remix),2004-10-18,2004,10
kelis,262,144,0,0.0,0.0,rumble,2014-04-17,2014,4
kelis,143,63,0,0.0,0.0,rumble (breach remix),0,0,0
kelis,337,156,0,0.0,0.0,runnin',2014-04-17,2014,4
kelis,400,179,0,0.0,0.0,runnin' (machinedrum remix),2014-08-11,2014,8
basement jaxx,2,2,0,0.0,0.0,scars,2009-09-21,2009,9
kelis,52,31,0,0.0,0.0,scars,2009-09-21,2009,9
meleka,79,47,0,0.0,0.0,scars,2009-09-21,2009,9
basement jaxx,120,67,0,0.0,0.0,scars,2009-09-21,2009,9
chipmunk,27,15,0,0.0,0.0,scars,2009-09-21,2009,9
basement jaxx,50,16,0,0.0,0.0,scream,2010-10-10,2010,10
kelis,316,127,0,0.0,0.0,scream,2010-10-10,2010,10
kelis,366,143,0,0.0,0.0,scream - al-p of mstrkrft remix,0,0,0
kelis,366,143,0,0.0,0.0,scream - russ chimes remix,0,0,0
kelis,1,1,0,0.0,0.0,segue 1,0,0,0
kelis,2,2,0,0.0,0.0,segue 3,0,0,0
kelis,2,2,0,0.0,0.0,segue 5,0,0,0
kelis,148,92,0,0.0,0.0,so be it,2002-10-15,2002,10
kelis,285,114,2,0.007017543859649123,0.017543859649122806,song for the baby,2010-05-14,2010,5
jean baptiste,40,20,0,0.0,0.0,spaceship,2010-05-25,2010,5
kelis x2,51,32,0,0.0,0.0,spaceship,2010-05-25,2010,5
apl.de.ap,43,30,0,0.0,0.0,spaceship,2010-05-25,2010,5
kelis,4,2,0,0.0,0.0,spaceship,2010-05-25,2010,5
kelis,13,9,0,0.0,0.0,spaceship (extended),0,0,0
benny benassi,312,190,0,0.0,0.0,spaceship (extended),0,0,0
benny benassi,325,199,0,0.0,0.0,spaceship (fedde le grand remix),0,0,0
benny benassi,35,19,0,0.0,0.0,star wars,0,0,0
kelis,73,49,0,0.0,0.0,star wars,0,0,0
kelis,411,211,0,0.0,0.0,stick up,2003-12-05,2003,12
angie martinez,499,265,3,0.006012024048096192,0.011320754716981131,take you home,0,0,0
kelis,51,27,0,0.0,0.0,take you home,0,0,0
angie] 2x,34,19,0,0.0,0.0,take you home,0,0,0
kelis,151,77,1,0.006622516556291391,0.012987012987012988,take you home (amended),0,0,0
angie martinez,363,187,2,0.005509641873278237,0.0106951871657754,take you home (amended),0,0,0
kelis,212,110,3,0.014150943396226415,0.02727272727272727,the spot,0,0,0
kelis,335,218,0,0.0,0.0,till the wheels fall off,0,0,0
kelis,349,156,0,0.0,0.0,trick me,2004-04-01,2004,4
kelis,382,180,0,0.0,0.0,trick me (e-smoove house trick),0,0,0
kelis,295,153,0,0.0,0.0,trilogy,0,0,0
cheryl,412,191,0,0.0,0.0,waiting,2010-10-29,2010,10
,442,249,2,0.004524886877828055,0.008032128514056224,wait (the whisper song ) (remix),2020-01-01,2020,1
,18,10,0,0.0,0.0,watch your step,2020-08-28,2020,8
,19,8,0,0.0,0.0,weekend,0,0,0
kelis,382,201,0,0.0,0.0,weekend,0,0,0
kelis,57,27,0,0.0,0.0,what'cha wanna do (bang your head remix),1998-09-28,1998,9
pras,396,215,0,0.0,0.0,what'cha wanna do (bang your head remix),1998-09-28,1998,9
kelis] x2,102,48,0,0.0,0.0,what'cha wanna do (bang your head remix),1998-09-28,1998,9
clipse,245,135,1,0.004081632653061225,0.007407407407407408,what'cha wanna do (bang your head remix),1998-09-28,1998,9
pras,22,12,0,0.0,0.0,what's that right there,0,0,0
kelis,657,318,12,0.0182648401826484,0.03773584905660377,what's that right there,0,0,0
kelis,167,72,0,0.0,0.0,who's lovin' you,2017-04-04,2017,4
kelis,361,228,0,0.0,0.0,young fresh and new,0,0,0
kelis,18,10,0,0.0,0.0,birthday,0,0,0
