food_word,food_word_count,artist,food_word_value,food_word_total,song,release_date,release_year,release_month,food_category_description
bean,6,burberry perry,1,6,1500,2016-05-04,2016,5,Legumes and Legume Products
fufu,1,lil yachty,1,1,1500,2016-05-04,2016,5,
fried,1,lil yachty,1,1,1500,2016-05-04,2016,5,Poultry Products
drink,1,based savage,1,1,1-800-kickadoe (remix),2019-05-15,2019,5,
pit,1,based savage,1,1,1-800-kickadoe (remix),2019-05-15,2019,5,
ice,5,cuco,1,5,1night,0,0,0,
sprite,1,cuco,1,1,1night,0,0,0,Beverages
reeses,1,jban$2turnt,1,1,22,2016-04-05,2016,4,Sweets
soup,1,lil yachty,1,1,223 (remix),2019-04-12,2019,4,"Soups, Sauces, and Gravies"
pan,1,unghetto mathieu,1,1,23,2018-03-13,2018,3,
toaster,1,lil yachty,1,1,2am,2016-08-23,2016,8,
spaghetti,1,lil yachty,1,1,2am,2016-08-23,2016,8,Cereal Grains and Pasta
lemonhead,1,lil yachty,1,1,2am,2016-08-23,2016,8,
slimfast,1,lil yachty,1,1,2am,2016-08-23,2016,8,Beverages
ice,2,tee grizzley,1,2,2 vaults,2018-04-24,2018,4,
drink,1,tee grizzley,1,1,2 vaults,2018-04-24,2018,4,
carrot,1,lil yachty,1,1,2 vaults,2018-04-24,2018,4,Vegetables and Vegetable Products
cake,1,lil yachty,1,1,2 vaults,2018-04-24,2018,4,Baked Products
carrot cake,1,lil yachty,-1,-1,2 vaults,2018-04-24,2018,4,
lemon,1,lotto savage,1,1,30,2016-05-04,2016,5,Beverages
cola,1,lotto savage,1,1,30,2016-05-04,2016,5,Beverages
ice,1,lil yachty],1,1,4real,2016-03-01,2016,3,
ice,1,famous dex,1,1,4real,0,0,0,
rose,1,lil yachty,1,1,6 am freestyle,2018-08-23,2018,8,Beverages
pea,1,lil yachty,1,1,75 second interlude*,0,0,0,Vegetables and Vegetable Products
grain,1,lil yachty,1,1,75 second interlude*,0,0,0,
food,1,jban$,1,1,90's babies,2017-02-21,2017,2,
water,1,jban$,1,1,90's babies,2017-02-21,2017,2,Beverages
ice,5,lil yachty,1,5,1night,2015-08-23,2015,8,
sprite,1,lil yachty,1,1,1night,2015-08-23,2015,8,Beverages
cauliflower,1,lil yachty,1,1,accomplishments,2019-12-06,2019,12,Vegetables and Vegetable Products
cookie,1,nicki minaj,1,1,act up [mashup],2019-04-21,2019,4,Baked Products
cookie,1,magnolia shorty,1,1,act up [mashup],2019-04-21,2019,4,Baked Products
nut,1,nicki minaj,1,1,act up [mashup],2019-04-21,2019,4,Nut and Seed Products
nut,1,magnolia shorty,1,1,act up [mashup],2019-04-21,2019,4,Nut and Seed Products
water,1,saweetie,1,1,act up [mashup],2019-04-21,2019,4,Beverages
cooking,2,lil yachty,1,2,adore me,2016-01-13,2016,1,Beverages
bean,8,roy woods,1,8,afterparty,2017-11-03,2017,11,Legumes and Legume Products
syrup,1,roy woods,1,1,afterparty,2017-11-03,2017,11,Sweets
water,1,roy woods,1,1,afterparty,2017-11-03,2017,11,Beverages
avocado,1,swae lee,1,1,afterparty,2017-11-03,2017,11,Fruits and Fruit Juices
drink,1,swae lee,1,1,afterparty,2017-11-03,2017,11,
ice,2,charli xcx,1,2,after the afterparty,2016-10-28,2016,10,
drink,1,charli xcx,1,1,after the afterparty,2016-10-28,2016,10,
cream,1,charli xcx,1,1,after the afterparty,2016-10-28,2016,10,Dairy and Egg Products
ice cream,1,charli xcx,-1,-1,after the afterparty,2016-10-28,2016,10,Sweets
cream,1,lil yachty,1,1,ain't fair,2016-03-03,2016,3,Dairy and Egg Products
dough,1,nessly,1,1,ain't fair,2016-03-03,2016,3,
bread,1,lil yachty,1,1,ain't my fault (remix),2016-10-07,2016,10,Baked Products
macaroni,1,byou,1,1,all in,2016-07-20,2016,7,Cereal Grains and Pasta
meat,1,byou,1,1,all in,2016-07-20,2016,7,Baby Foods
snack,1,kay the yacht,1,1,all in,2016-07-20,2016,7,Snacks
oreo,1,kay the yacht,1,1,all in,2016-07-20,2016,7,
frosted,1,soop,1,1,all in,2016-07-20,2016,7,
cake,1,soop,1,1,all in,2016-07-20,2016,7,Baked Products
steak,1,soop,1,1,all in,2016-07-20,2016,7,Beef Products
fish,1,kodie shane,1,1,all in,2016-07-20,2016,7,Finfish and Shellfish Products
pan,1,k$upreme,1,1,all stars freestyle,2016-08-19,2016,8,
cooking,1,ckent,1,1,all stars freestyle,2016-08-19,2016,8,Beverages
ginger,1,lil yachty,1,1,all stars freestyle,2016-08-19,2016,8,Spices and Herbs
champagne,1,lil yachty,1,1,all stars freestyle,2016-08-19,2016,8,
ice,1,lil yachty,1,1,amazin,2019-11-15,2019,11,
ice,6,cuban doll,1,6,amazin,2019-11-15,2019,11,
biscotti,1,cuban doll,1,1,amazin,2019-11-15,2019,11,
iced,1,cuban doll,1,1,amazin,2019-11-15,2019,11,Beverages
apple,1,lil yachty,1,1,anarchy,2018-10-01,2018,10,Fruits and Fruit Juices
apple,1,lil yachty,1,1,anarchy (original version),2018-10-01,2018,10,Fruits and Fruit Juices
cabbage,1,yung miami,1,1,act up,2018-11-16,2018,11,Vegetables and Vegetable Products
bubblegum,1,yung miami,1,1,act up,2018-11-16,2018,11,
ice,1,lil yachty,1,1,a-team (you ain't safe),2020-01-31,2020,1,
cream,1,lil yachty,1,1,a-team (you ain't safe),2020-01-31,2020,1,Dairy and Egg Products
ice cream,1,lil yachty,-1,-1,a-team (you ain't safe),2020-01-31,2020,1,Sweets
ice,1,ayo,1,1,ay3,2018-07-27,2018,7,
banana,3,ayo,1,3,ay3,2018-07-27,2018,7,Fruits and Fruit Juices
banana,3,teo,1,3,ay3,2018-07-27,2018,7,Fruits and Fruit Juices
rib,1,lil yachty,1,1,ay3,2018-07-27,2018,7,Beef Products
banana split,3,ayo,1,3,ay3,2018-07-27,2018,7,
banana split,3,teo,1,3,ay3,2018-07-27,2018,7,
iced,1,lil yachty,1,1,b4 da boat,0,0,0,Beverages
candy,1,lil yachty,1,1,b4 da boat,0,0,0,Sweets
apple,1,lil yachty,1,1,b4 da boat,0,0,0,Fruits and Fruit Juices
nacho,1,k$urpreme,1,1,b4 da boat,0,0,0,Fast Foods
candy apple,1,lil yachty,-1,-1,b4 da boat,0,0,0,
nut,1,lil yachty,1,1,b4 da boat pt. 2,2016-02-04,2016,2,Nut and Seed Products
chocolate,1,lil yachty,1,1,b4 da boat pt. 2,2016-02-04,2016,2,Sweets
apple,1,lil yachty,1,1,b4 da boat pt. 2,2016-02-04,2016,2,Fruits and Fruit Juices
sauce,1,lil yachty,1,1,b4 da boat pt. 2,2016-02-04,2016,2,"Soups, Sauces, and Gravies"
tabasco,1,lil yachty,1,1,b4 da boat pt. 2,2016-02-04,2016,2,"Soups, Sauces, and Gravies"
apple sauce,1,lil yachty,-1,-1,b4 da boat pt. 2,2016-02-04,2016,2,
juice,1,lil yachty,1,1,bae bae,2016-08-02,2016,8,Baby Foods
drink,1,lil yachty,1,1,bae bae,2016-08-02,2016,8,
chocolate,1,lil yachty,1,1,bae bae,2016-08-02,2016,8,Sweets
chocolate chip,1,lil yachty,1,1,bae bae,2016-08-02,2016,8,Baked Products
juice,4,young dolph,1,4,bagg,2017-01-04,2017,1,Baby Foods
ice,1,young dolph,1,1,bagg,2017-01-04,2017,1,
drinking,1,young dolph,1,1,bagg,2017-01-04,2017,1,Beverages
daiquiri,1,young dolph,1,1,bagg,2017-01-04,2017,1,Beverages
vanilla,2,lil yachty,1,2,ballin like a piston,2015-02-17,2015,2,Sweets
bean,1,lil yachty,1,1,ballin like a piston,2015-02-17,2015,2,Legumes and Legume Products
ice,1,lil yachty,1,1,ballin like a piston,2015-02-17,2015,2,
nut,1,lil yachty,1,1,ballin like a piston,2015-02-17,2015,2,Nut and Seed Products
apple,1,lil yachty,1,1,ballin like a piston,2015-02-17,2015,2,Fruits and Fruit Juices
vanilla bean,1,lil yachty,-1,-1,ballin like a piston,2015-02-17,2015,2,
nut,1,lil yachty,1,1,ballin' like a piston 3,0,0,0,Nut and Seed Products
fajita,1,terintino,1,1,ball on you,2017-03-29,2017,3,
donut,1,terintino,1,1,ball on you,2017-03-29,2017,3,
water,1,lil yachty,1,1,art show,2017-10-06,2017,10,Beverages
vegetable,3,lil yachty,1,3,art show,2017-10-06,2017,10,Baby Foods
nut,3,lil yachty,1,3,art show,2017-10-06,2017,10,Nut and Seed Products
lamb,3,just juice,1,3,bands,2016-05-24,2016,5,"Lamb, Veal, and Game Products"
drink,3,just juice,1,3,bands,2016-05-24,2016,5,
cheddar,1,just juice,1,1,bands,2016-05-24,2016,5,Dairy and Egg Products
