artist,lyrics_word_count,lyrics_word_count_excl_sw,food_words_count,food_words_perc_all_lyric_words,food_words_perc_lyric_words_excl_sw,song,release_date,release_year,release_month
will smith,549,310,0,0.0,0.0,"1,000 kisses",2002-10-25,2002,10
will smith,596,336,0,0.0,0.0,"1,000 kisses - radio edit",0,0,0
will smith,43,25,0,0.0,0.0,act like you know,2002-10-25,2002,10
will smith,484,275,2,0.004132231404958678,0.007272727272727273,act like you know,2002-10-25,2002,10
tra-knox,45,25,0,0.0,0.0,act like you know,2002-10-25,2002,10
dj jazzy jeff & the fresh prince,558,287,0,0.0,0.0,a dog is a dog,1991-07-23,1991,7
jada pinkett smith,61,31,0,0.0,0.0,afro angel,0,0,0
will smith,705,372,1,0.0014184397163120568,0.002688172043010753,afro angel,0,0,0
dj jazzy jeff & the fresh prince,661,389,15,0.0226928895612708,0.038560411311053984,ain't no place like home,0,0,0
"stephen j. rivele, christopher wilkinson, eric roth and michael mann",152,75,0,0.0,0.0,ali - draft resistance speech,2001-01-01,2001,1
fresh prince,718,377,1,0.001392757660167131,0.002652519893899204,a nightmare on my street,1988-08-01,1988,8
freddy kruger,398,197,1,0.002512562814070352,0.005076142131979695,a nightmare on my street,1988-08-01,1988,8
freddy krueger,120,82,0,0.0,0.0,a nightmare on my street,1988-08-01,1988,8
jazzy jeff,120,82,0,0.0,0.0,a nightmare on my street,1988-08-01,1988,8
freddy krueger,810,430,0,0.0,0.0,a nightmare on my street,2004-08-24,2004,8
jazzy jeff,810,430,0,0.0,0.0,a nightmare on my street,2004-08-24,2004,8
fresh prince,810,430,0,0.0,0.0,a nightmare on my street,2004-08-24,2004,8
dj jazzy jeff & the fresh prince,302,173,0,0.0,0.0,another special announcement,1988-03-29,1988,3
we forgot somebodyyofred,5,2,0,0.0,0.0,another special announcement,1988-03-29,1988,3
yo,5,2,0,0.0,0.0,another special announcement,1988-03-29,1988,3
dj jazzy jeff & the fresh prince,13,9,0,0.0,0.0,arabian,0,0,0
mister love,345,205,0,0.0,0.0,arabian,0,0,0
will smith,250,134,1,0.004,0.007462686567164179,arabian nights (2019),2019-05-22,2019,5
frank welker,49,29,0,0.0,0.0,arabian nights (2019),2019-05-22,2019,5
dj jazzy jeff & the fresh prince,727,379,5,0.0068775790921595595,0.013192612137203167,as we go,1988-03-29,1988,3
dj jazzy jeff & the fresh prince,1,1,0,0.0,0.0,a touch of jazz,1987-03-19,1987,3
,89,78,0,0.0,0.0,autentyczny,2019-01-19,2019,1
ynfrn0,53,49,0,0.0,0.0,autentyczny,2019-01-19,2019,1
x2,26,24,0,0.0,0.0,autentyczny,2019-01-19,2019,1
,3,3,0,0.0,0.0,a willie,0,0,0
will smith,117,68,0,0.0,0.0,a willie,0,0,0
will smith,293,150,4,0.013651877133105802,0.02666666666666667,bad boys,1995-04-07,1995,4
george gallo,12156,6351,29,0.0023856531753866403,0.0045662100456621,bad boys,1995-04-07,1995,4
will smith,106,44,0,0.0,0.0,big willie style,1995-11-25,1995,11
will smith,416,227,2,0.004807692307692308,0.00881057268722467,big willie style,1995-11-25,1995,11
left eye,148,86,1,0.006756756756756757,0.011627906976744186,big willie style,1995-11-25,1995,11
will smith,699,447,1,0.001430615164520744,0.0022371364653243847,black suits comin',0,0,0
will smith,700,443,1,0.0014285714285714286,0.002257336343115124,black suits comin' (nod ya head),2002-06-11,2002,6
will smith,915,508,0,0.0,0.0,black suits comin' (nod ya head- remix),0,0,0
will smith,537,299,2,0.0037243947858473,0.006688963210702341,block party,2002-06-25,2002,6
fresh prince,342,191,0,0.0,0.0,boom! shake the room,1993-07-20,1993,7
crowd,23,20,0,0.0,0.0,boom! shake the room,1993-07-20,1993,7
dj jazzy jeff & the fresh prince,178,96,0,0.0,0.0,boom! shake the room,1993-07-20,1993,7
dj jazzy jeff & the fresh prince,587,336,0,0.0,0.0,boom! shake the room (street remix),0,0,0
dj jazzy jeff & the fresh prince,46,17,0,0.0,0.0,born to reign,0,0,0
will smith,234,131,0,0.0,0.0,born to reign,0,0,0
will smith,8,8,0,0.0,0.0,boy you knock me out,0,0,0
tatyana ali,284,143,0,0.0,0.0,boy you knock me out,0,0,0
tatyana ali,286,146,0,0.0,0.0,boy you knock me out (remix),0,0,0
dj jazzy jeff & the fresh prince,477,272,0,0.0,0.0,brand new funk,1987-12-02,1987,12
dj jazzy jeff & the fresh prince,488,280,0,0.0,0.0,brand new funk,0,0,0
angie stone,452,234,2,0.004424778761061947,0.008547008547008548,brotha,2001-10-16,2001,10
will smith,472,245,16,0.03389830508474576,0.0653061224489796,candy,0,0,0
will smith,176,95,0,0.0,0.0,can everyone see this trippy stuff,0,0,0
david ayer,2051,1143,2,0.0009751340809361287,0.0017497812773403325,can everyone see this trippy stuff,0,0,0
dj jazzy jeff & the fresh prince,767,383,2,0.002607561929595828,0.005221932114882507,can't wait to be with you,0,0,0
dj jazzy jeff & the fresh prince,57,27,0,0.0,0.0,captain hiller dragging an alien through the desert,0,0,0
independence day,26,15,1,0.038461538461538464,0.06666666666666667,captain hiller dragging an alien through the desert,0,0,0
dj jazzy jeff & the fresh prince,454,243,1,0.0022026431718061676,0.00411522633744856,caught in the middle,1991-07-23,1991,7
dj jazzy jeff & the fresh prince,718,365,2,0.002785515320334262,0.005479452054794521,charlie mack (the first out the limo),1988-03-29,1988,3
dj jazzy jeff & the fresh prince,398,236,0,0.0,0.0,code red,1993-10-12,1993,10
will smith,672,352,2,0.002976190476190476,0.005681818181818182,coming to the stage,0,0,0
will smith,527,263,0,0.0,0.0,could u love me,2008-09-30,2008,9
dj jazzy jeff & the fresh prince,1120,571,2,0.0017857142857142857,0.0035026269702276708,don't even try it,1987-03-19,1987,3
dj jazzy jeff & the fresh prince,11,9,0,0.0,0.0,don't say nothin',1997-11-25,1997,11
will smith,704,397,4,0.005681818181818182,0.010075566750629723,don't say nothin',1997-11-25,1997,11
will smith,5,2,0,0.0,0.0,dumb dancin',1991-07-23,1991,7
dj jazzy jeff & the fresh prince,608,310,1,0.001644736842105263,0.0032258064516129032,dumb dancin',1991-07-23,1991,7
will smith,370,311,0,0.0,0.0,está rico,2018-09-28,2018,9
bad bunny,225,206,1,0.0044444444444444444,0.0048543689320388345,está rico,2018-09-28,2018,9
marc anthony,253,239,0,0.0,0.0,está rico,2018-09-28,2018,9
will smith,29,23,0,0.0,0.0,everything that glitters (ain't always gold),1989-10-31,1989,10
bad bunny,29,23,0,0.0,0.0,everything that glitters (ain't always gold),1989-10-31,1989,10
dj jazzy jeff & the fresh prince,657,341,4,0.0060882800608828,0.011730205278592375,everything that glitters (ain't always gold),1989-10-31,1989,10
ainsoñayshaoh,34,19,0,0.0,0.0,"exit ben, enter tim (interlude)",0,0,0
ainsoñayshaoh,18,10,0,0.0,0.0,fatherless child,2019-01-05,2019,1
black mozart  (other),694,351,5,0.007204610951008645,0.014245014245014245,fatherless child,2019-01-05,2019,1
will smith,211,148,0,0.0,0.0,fiesta (remix),2015-10-02,2015,10
bomba estereo,173,143,0,0.0,0.0,fiesta (remix),2015-10-02,2015,10
bomba estéreo,36,24,0,0.0,0.0,fiesta (remix),2015-10-02,2015,10
bomba estereo,4,2,0,0.0,0.0,freak accident,2018-03-17,2018,3
will smith,4,2,0,0.0,0.0,freak accident,2018-03-17,2018,3
will smith,136,77,3,0.022058823529411766,0.03896103896103896,freak accident,2018-03-17,2018,3
will smith,762,439,1,0.0013123359580052493,0.002277904328018223,freakin' it,2000-03-22,2000,3
micfri,80,41,0,0.0,0.0,fresh prince,2009-07-06,2009,7
ray william johnson,110,53,0,0.0,0.0,fresh prince,2009-07-06,2009,7
fatty spins,13,11,0,0.0,0.0,fresh prince,2009-07-06,2009,7
dj jazzy jeff & the fresh prince,350,170,3,0.008571428571428572,0.01764705882352941,fresh prince of bel-air,1992-09-21,1992,9
genie will smith,310,156,2,0.0064516129032258064,0.01282051282051282,friend like me,2019-05-22,2019,5
spoken,13,8,0,0.0,0.0,friend like me,2019-05-22,2019,5
will smith,57,32,0,0.0,0.0,friend like me,2019-05-22,2019,5
mena assoud,1,1,0,0.0,0.0,friend like me,2019-05-22,2019,5
will smith,312,151,0,0.0,0.0,get lit,2017-10-06,2017,10
will smith,671,475,4,0.005961251862891207,0.008421052631578947,gettin' jiggy wit it,1998-01-27,1998,1
fresh prince,117,64,0,0.0,0.0,girls ain’t nothing but trouble,0,0,0
dj jazzy jeff & the fresh prince,717,361,3,0.0041841004184100415,0.008310249307479225,girls ain’t nothing but trouble,0,0,0
the fresh prince,34,19,0,0.0,0.0,girls ain’t nothing but trouble,0,0,0
the fresh prince dj jazzy jeff,80,50,1,0.0125,0.02,girls ain't nothing but trouble (original 1986 version),1986-01-01,1986,1
the fresh prince,885,437,8,0.00903954802259887,0.018306636155606407,girls ain't nothing but trouble (original 1986 version),1986-01-01,1986,1
dj jazzy jeff & the fresh prince,19,17,0,0.0,0.0,girls ain't nothing but trouble (original 1986 version),1986-01-01,1986,1
dj jazzy jeff & the fresh prince,162,79,0,0.0,0.0,give me tonite,2002-10-25,2002,10
will smith,313,161,0,0.0,0.0,give me tonite,2002-10-25,2002,10
will smith,385,180,3,0.007792207792207792,0.016666666666666666,got to be real,0,0,0
dj jazzy jeff & the fresh prince,56,37,1,0.017857142857142856,0.02702702702702703,guys ain't nothing but trouble,1987-03-19,1987,3
and dj jazzy jeff,356,184,2,0.0056179775280898875,0.010869565217391304,guys ain't nothing but trouble,1987-03-19,1987,3
ice cream tee,356,184,2,0.0056179775280898875,0.010869565217391304,guys ain't nothing but trouble,1987-03-19,1987,3
will smith,356,184,2,0.0056179775280898875,0.010869565217391304,guys ain't nothing but trouble,1987-03-19,1987,3
ice cream tee and will smith,486,249,3,0.006172839506172839,0.012048192771084338,guys ain't nothing but trouble,1987-03-19,1987,3
dj jazzy jeff & the fresh prince,46,23,0,0.0,0.0,halcyon,0,0,0
michael st laurent,71,33,0,0.0,0.0,halcyon,0,0,0
will smith,298,146,1,0.003355704697986577,0.00684931506849315,here he comes,2005-03-29,2005,3
will smith,54,28,0,0.0,0.0,here he comes,2005-03-29,2005,3
will smith,29,16,0,0.0,0.0,here we go again,1988-03-29,1988,3
dj jazzy jeff & the fresh prince,409,218,0,0.0,0.0,here we go again,1988-03-29,1988,3
dj jazzy jeff & the fresh prince,888,508,3,0.0033783783783783786,0.005905511811023622,"he's the dj, i'm the rapper",1988-03-29,1988,3
dj jazzy jeff & the fresh prince,56,30,0,0.0,0.0,hey craziness,0,0,0
david ayer,1865,1097,3,0.0016085790884718498,0.0027347310847766638,hey craziness,0,0,0
shaggy,98,57,0,0.0,0.0,hey sexy lady (dancehall remix),2002-11-14,2002,11
tony gold] + shaggy sean paul,82,49,0,0.0,0.0,hey sexy lady (dancehall remix),2002-11-14,2002,11
brian,144,79,0,0.0,0.0,hey sexy lady (dancehall remix),2002-11-14,2002,11
sean paul,154,132,0,0.0,0.0,hey sexy lady (dancehall remix),2002-11-14,2002,11
will smith,160,84,1,0.00625,0.011904761904761904,hey sexy lady (dancehall remix),2002-11-14,2002,11
shaggy],56,30,0,0.0,0.0,hey sexy lady (dancehall remix),2002-11-14,2002,11
brian and tony gold,56,30,0,0.0,0.0,hey sexy lady (dancehall remix),2002-11-14,2002,11
tony gold,62,30,0,0.0,0.0,hey sexy lady (dancehall remix),2002-11-14,2002,11
brian,14,13,0,0.0,0.0,higher baby,0,0,0
tony gold,14,13,0,0.0,0.0,higher baby,0,0,0
